instance family
mcs10_b03_s40_AB00 0 1000000
mcs10_b03_s40_AB01 0 1000000
mcs10_b03_s40_AB02 0 1000001
mcs10_b03_s40_AB03 0 1000000
mcs10_b03_s40_AB04 0 1000000
mcs10_b03_s40_AB05 0 1000001
mcs10_b03_s40_AB06 0 1000000
mcs10_b03_s40_AB07 0 1000000
mcs10_b03_s40_AB08 0 1000000
mcs10_b03_s40_AB09 0 1000000
mcs10_b03_s50_AB00 0 1000001
mcs10_b03_s50_AB01 0 1000001
mcs10_b03_s50_AB02 0 1000001
mcs10_b03_s50_AB03 0 1000001
mcs10_b03_s50_AB04 0 1000001
mcs10_b03_s50_AB05 0 1000002
mcs10_b03_s50_AB06 0 1000001
mcs10_b03_s50_AB07 0 1000001
mcs10_b03_s50_AB08 0 1000001
mcs10_b03_s50_AB09 0 1000001
mcs10_b03m_s40_AB00 0 1000000
mcs10_b03m_s40_AB01 0 1000000
mcs10_b03m_s40_AB02 0 1000000
mcs10_b03m_s40_AB03 0 1000000
mcs10_b03m_s40_AB04 0 1000000
mcs10_b03m_s40_AB05 0 1000000
mcs10_b03m_s40_AB06 0 1000000
mcs10_b03m_s40_AB07 0 1000000
mcs10_b03m_s40_AB08 0 1000000
mcs10_b03m_s40_AB09 0 1000000
mcs10_b03m_s50_AB00 0 1000001
mcs10_b03m_s50_AB01 0 1000001
mcs10_b03m_s50_AB02 0 1000001
mcs10_b03m_s50_AB03 0 1000001
mcs10_b03m_s50_AB04 0 1000000
mcs10_b03m_s50_AB05 0 1000001
mcs10_b03m_s50_AB06 0 1000001
mcs10_b03m_s50_AB07 0 1000001
mcs10_b03m_s50_AB08 0 1000001
mcs10_b03m_s50_AB09 0 1000000
mcs10_m2D_s40_AB00 0 1000000
mcs10_m2D_s40_AB01 0 1000000
mcs10_m2D_s40_AB02 0 1000000
mcs10_m2D_s40_AB03 0 1000000
mcs10_m2D_s40_AB04 0 1000000
mcs10_m2D_s40_AB05 0 1000001
mcs10_m2D_s40_AB06 0 1000000
mcs10_m2D_s40_AB07 0 1000000
mcs10_m2D_s40_AB08 0 1000000
mcs10_m2D_s40_AB09 0 1000000
mcs10_m2D_s50_AB00 0 1000001
mcs10_m2D_s50_AB01 0 1000000
mcs10_m2D_s50_AB02 0 1000001
mcs10_m2D_s50_AB03 0 1000001
mcs10_m2D_s50_AB04 0 1000001
mcs10_m2D_s50_AB05 0 1000001
mcs10_m2D_s50_AB06 0 1000001
mcs10_m2D_s50_AB07 0 1000001
mcs10_m2D_s50_AB08 0 1000001
mcs10_m2D_s50_AB09 0 1000001
mcs10_m2Dr4_s40_AB00 0 1000000
mcs10_m2Dr4_s40_AB01 0 1000000
mcs10_m2Dr4_s40_AB02 0 1000000
mcs10_m2Dr4_s40_AB03 0 1000001
mcs10_m2Dr4_s40_AB04 0 1000000
mcs10_m2Dr4_s40_AB05 0 1000000
mcs10_m2Dr4_s40_AB06 0 1000000
mcs10_m2Dr4_s40_AB07 0 1000001
mcs10_m2Dr4_s40_AB08 0 1000000
mcs10_m2Dr4_s40_AB09 0 1000000
mcs10_m2Dr4_s50_AB00 0 1000000
mcs10_m2Dr4_s50_AB01 0 1000000
mcs10_m2Dr4_s50_AB02 0 1000001
mcs10_m2Dr4_s50_AB03 0 1000000
mcs10_m2Dr4_s50_AB04 0 1000001
mcs10_m2Dr4_s50_AB05 0 1000000
mcs10_m2Dr4_s50_AB06 0 1000001
mcs10_m2Dr4_s50_AB07 0 1000001
mcs10_m2Dr4_s50_AB08 0 1000001
mcs10_m2Dr4_s50_AB09 0 1000000
mcs10_m2Dr6_s40_AB00 0 1000000
mcs10_m2Dr6_s40_AB01 0 1000000
mcs10_m2Dr6_s40_AB02 0 1000000
mcs10_m2Dr6_s40_AB03 0 1000000
mcs10_m2Dr6_s40_AB04 0 1000000
mcs10_m2Dr6_s40_AB05 0 1000000
mcs10_m2Dr6_s40_AB06 0 1000000
mcs10_m2Dr6_s40_AB07 0 1000000
mcs10_m2Dr6_s40_AB08 0 1000001
mcs10_m2Dr6_s40_AB09 0 1000000
mcs10_m2Dr6_s50_AB00 0 1000001
mcs10_m2Dr6_s50_AB01 0 1000001
mcs10_m2Dr6_s50_AB02 0 1000001
mcs10_m2Dr6_s50_AB03 0 1000000
mcs10_m2Dr6_s50_AB04 0 1000000
mcs10_m2Dr6_s50_AB05 0 1000000
mcs10_m2Dr6_s50_AB06 0 1000001
mcs10_m2Dr6_s50_AB07 0 1000000
mcs10_m2Dr6_s50_AB08 0 1000001
mcs10_m2Dr6_s50_AB09 0 1000000
mcs10_r005_s20_AB00 0 44
mcs10_r005_s20_AB01 0 60
mcs10_r005_s20_AB02 0 33
mcs10_r005_s20_AB03 0 150
mcs10_r005_s20_AB04 0 45
mcs10_r005_s20_AB05 0 55
mcs10_r005_s20_AB06 0 47
mcs10_r005_s20_AB07 0 97
mcs10_r005_s20_AB08 0 69
mcs10_r005_s20_AB09 0 87
mcs10_r005_s25_AB00 0 1244
mcs10_r005_s25_AB01 0 1336
mcs10_r005_s25_AB02 0 1580
mcs10_r005_s25_AB03 0 4876
mcs10_r005_s25_AB04 0 25050
mcs10_r005_s25_AB05 0 1589
mcs10_r005_s25_AB06 0 11684
mcs10_r005_s25_AB07 0 491
mcs10_r005_s25_AB08 0 3519
mcs10_r005_s25_AB09 0 6216
mcs10_r005_s30_AB00 0 69920
mcs10_r005_s30_AB01 0 821517
mcs10_r005_s30_AB02 0 86068
mcs10_r005_s30_AB03 0 192163
mcs10_r005_s30_AB04 0 1000000
mcs10_r005_s30_AB05 0 1000000
mcs10_r005_s30_AB06 0 855715
mcs10_r005_s30_AB07 0 215967
mcs10_r005_s30_AB08 0 256848
mcs10_r005_s30_AB09 0 52441
mcs10_r005_s35_AB00 0 1000000
mcs10_r005_s35_AB01 0 1000000
mcs10_r005_s35_AB02 0 1000000
mcs10_r005_s35_AB03 0 1000000
mcs10_r005_s35_AB04 0 1000000
mcs10_r005_s35_AB05 0 1000000
mcs10_r005_s35_AB06 0 1000000
mcs10_r005_s35_AB07 0 1000000
mcs10_r005_s35_AB08 0 1000000
mcs10_r005_s35_AB09 0 1000000
mcs10_r005_s40_AB00 0 1000000
mcs10_r005_s40_AB01 0 1000000
mcs10_r005_s40_AB02 0 1000000
mcs10_r005_s40_AB03 0 1000000
mcs10_r005_s40_AB04 0 1000000
mcs10_r005_s40_AB05 0 1000000
mcs10_r005_s40_AB06 0 1000000
mcs10_r005_s40_AB07 0 1000000
mcs10_r005_s40_AB08 0 1000000
mcs10_r005_s40_AB09 0 1000000
mcs10_r005_s50_AB00 0 1000001
mcs10_r005_s50_AB01 0 1000000
mcs10_r005_s50_AB02 0 1000001
mcs10_r005_s50_AB03 0 1000000
mcs10_r005_s50_AB04 0 1000001
mcs10_r005_s50_AB05 0 1000000
mcs10_r005_s50_AB06 0 1000000
mcs10_r005_s50_AB07 0 1000000
mcs10_r005_s50_AB08 0 1000001
mcs10_r005_s50_AB09 0 1000000
mcs10_r01_s20_AB00 0 288
mcs10_r01_s20_AB01 0 285
mcs10_r01_s20_AB02 0 144
mcs10_r01_s20_AB03 0 180
mcs10_r01_s20_AB04 0 169
mcs10_r01_s20_AB05 0 101
mcs10_r01_s20_AB06 0 201
mcs10_r01_s20_AB07 0 56
mcs10_r01_s20_AB08 0 59
mcs10_r01_s20_AB09 0 109
mcs10_r01_s25_AB00 0 7426
mcs10_r01_s25_AB01 0 6678
mcs10_r01_s25_AB02 0 6537
mcs10_r01_s25_AB03 0 7768
mcs10_r01_s25_AB04 0 8652
mcs10_r01_s25_AB05 0 11148
mcs10_r01_s25_AB06 0 5405
mcs10_r01_s25_AB07 0 3942
mcs10_r01_s25_AB08 0 8870
mcs10_r01_s25_AB09 0 6366
mcs10_r01_s30_AB00 0 739842
mcs10_r01_s30_AB01 0 409684
mcs10_r01_s30_AB02 0 274839
mcs10_r01_s30_AB03 0 279996
mcs10_r01_s30_AB04 0 172020
mcs10_r01_s30_AB05 0 255369
mcs10_r01_s30_AB06 0 401832
mcs10_r01_s30_AB07 0 295040
mcs10_r01_s30_AB08 0 488363
mcs10_r01_s30_AB09 0 328048
mcs10_r01_s35_AB00 0 1000000
mcs10_r01_s35_AB01 0 1000000
mcs10_r01_s35_AB02 0 1000000
mcs10_r01_s35_AB03 0 1000000
mcs10_r01_s35_AB04 0 1000000
mcs10_r01_s35_AB05 0 1000000
mcs10_r01_s35_AB06 0 1000000
mcs10_r01_s35_AB07 0 1000000
mcs10_r01_s35_AB08 0 1000000
mcs10_r01_s35_AB09 0 1000000
mcs10_r01_s40_AB00 0 1000000
mcs10_r01_s40_AB01 0 1000000
mcs10_r01_s40_AB02 0 1000000
mcs10_r01_s40_AB03 0 1000000
mcs10_r01_s40_AB04 0 1000000
mcs10_r01_s40_AB05 0 1000001
mcs10_r01_s40_AB06 0 1000000
mcs10_r01_s40_AB07 0 1000000
mcs10_r01_s40_AB08 0 1000001
