instance family cp
mcs10_b03_s40_AB00 0 1000.000000
mcs10_b03_s40_AB01 0 1000.000000
mcs10_b03_s40_AB02 0 1000.000000
mcs10_b03_s40_AB03 0 1000.000000
mcs10_b03_s40_AB04 0 1000.000000
mcs10_b03_s40_AB05 0 1000.000000
mcs10_b03_s40_AB06 0 1000.000061
mcs10_b03_s40_AB07 0 1000.000000
mcs10_b03_s40_AB08 0 1000.000000
mcs10_b03_s40_AB09 0 1000.000000
mcs10_b03_s50_AB00 0 1000.000061
mcs10_b03_s50_AB01 0 1000.000061
mcs10_b03_s50_AB02 0 1000.000061
mcs10_b03_s50_AB03 0 1000.000061
mcs10_b03_s50_AB04 0 1000.000000
mcs10_b03_s50_AB05 0 1000.000061
mcs10_b03_s50_AB06 0 1000.000061
mcs10_b03_s50_AB07 0 1000.000061
mcs10_b03_s50_AB08 0 1000.000000
mcs10_b03_s50_AB09 0 1000.000000
mcs10_b03m_s40_AB00 0 1000.000000
mcs10_b03m_s40_AB01 0 1000.000000
mcs10_b03m_s40_AB02 0 1000.000000
mcs10_b03m_s40_AB03 0 1000.000000
mcs10_b03m_s40_AB04 0 1000.000000
mcs10_b03m_s40_AB05 0 1000.000000
mcs10_b03m_s40_AB06 0 1000.000000
mcs10_b03m_s40_AB07 0 1000.000000
mcs10_b03m_s40_AB08 0 1000.000000
mcs10_b03m_s40_AB09 0 1000.000000
mcs10_b03m_s50_AB00 0 1000.000061
mcs10_b03m_s50_AB01 0 1000.000000
mcs10_b03m_s50_AB02 0 1000.000000
mcs10_b03m_s50_AB03 0 1000.000000
mcs10_b03m_s50_AB04 0 1000.000061
mcs10_b03m_s50_AB05 0 1000.000061
mcs10_b03m_s50_AB06 0 1000.000061
mcs10_b03m_s50_AB07 0 1000.000061
mcs10_b03m_s50_AB08 0 1000.000000
mcs10_b03m_s50_AB09 0 1000.000000
mcs10_m2D_s40_AB00 0 1000.000061
mcs10_m2D_s40_AB01 0 1000.000000
mcs10_m2D_s40_AB02 0 1000.000000
mcs10_m2D_s40_AB03 0 1000.000000
mcs10_m2D_s40_AB04 0 1000.000000
mcs10_m2D_s40_AB05 0 1000.000000
mcs10_m2D_s40_AB06 0 1000.000000
mcs10_m2D_s40_AB07 0 1000.000000
mcs10_m2D_s40_AB08 0 1000.000000
mcs10_m2D_s40_AB09 0 1000.000000
mcs10_m2D_s50_AB00 0 1000.000061
mcs10_m2D_s50_AB01 0 1000.000000
mcs10_m2D_s50_AB02 0 1000.000061
mcs10_m2D_s50_AB03 0 1000.000061
mcs10_m2D_s50_AB04 0 1000.000000
mcs10_m2D_s50_AB05 0 1000.000061
mcs10_m2D_s50_AB06 0 1000.000000
mcs10_m2D_s50_AB07 0 1000.000000
mcs10_m2D_s50_AB08 0 1000.000000
mcs10_m2D_s50_AB09 0 1000.000000
mcs10_m2Dr4_s40_AB00 0 1000.000000
mcs10_m2Dr4_s40_AB01 0 1000.000000
mcs10_m2Dr4_s40_AB02 0 1000.000000
mcs10_m2Dr4_s40_AB03 0 1000.000000
mcs10_m2Dr4_s40_AB04 0 1000.000000
mcs10_m2Dr4_s40_AB05 0 1000.000000
mcs10_m2Dr4_s40_AB06 0 1000.000000
mcs10_m2Dr4_s40_AB07 0 1000.000000
mcs10_m2Dr4_s40_AB08 0 1000.000000
mcs10_m2Dr4_s40_AB09 0 1000.000000
mcs10_m2Dr4_s50_AB00 0 1000.000061
mcs10_m2Dr4_s50_AB01 0 1000.000000
mcs10_m2Dr4_s50_AB02 0 1000.000000
mcs10_m2Dr4_s50_AB03 0 1000.000000
mcs10_m2Dr4_s50_AB04 0 1000.000000
mcs10_m2Dr4_s50_AB05 0 1000.000000
mcs10_m2Dr4_s50_AB06 0 1000.000000
mcs10_m2Dr4_s50_AB07 0 1000.000000
mcs10_m2Dr4_s50_AB08 0 1000.000000
mcs10_m2Dr4_s50_AB09 0 1000.000061
mcs10_m2Dr6_s40_AB00 0 1000.000000
mcs10_m2Dr6_s40_AB01 0 1000.000000
mcs10_m2Dr6_s40_AB02 0 1000.000000
mcs10_m2Dr6_s40_AB03 0 1000.000000
mcs10_m2Dr6_s40_AB04 0 1000.000000
mcs10_m2Dr6_s40_AB05 0 1000.000000
mcs10_m2Dr6_s40_AB06 0 1000.000000
mcs10_m2Dr6_s40_AB07 0 1000.000000
mcs10_m2Dr6_s40_AB08 0 1000.000000
mcs10_m2Dr6_s40_AB09 0 1000.000000
mcs10_m2Dr6_s50_AB00 0 1000.000000
mcs10_m2Dr6_s50_AB01 0 1000.000000
mcs10_m2Dr6_s50_AB02 0 1000.000000
mcs10_m2Dr6_s50_AB03 0 1000.000061
mcs10_m2Dr6_s50_AB04 0 1000.000000
mcs10_m2Dr6_s50_AB05 0 1000.000000
mcs10_m2Dr6_s50_AB06 0 1000.000000
mcs10_m2Dr6_s50_AB07 0 1000.000000
mcs10_m2Dr6_s50_AB08 0 1000.000061
mcs10_m2Dr6_s50_AB09 0 1000.000000
mcs10_r005_s20_AB00 0 0.194882
mcs10_r005_s20_AB01 0 0.037320
mcs10_r005_s20_AB02 0 0.135324
mcs10_r005_s20_AB03 0 0.131037
mcs10_r005_s20_AB04 0 0.110289
mcs10_r005_s20_AB05 0 0.589935
mcs10_r005_s20_AB06 0 0.089756
mcs10_r005_s20_AB07 0 0.082946
mcs10_r005_s20_AB08 0 0.971162
mcs10_r005_s20_AB09 0 0.344275
mcs10_r005_s25_AB00 0 112.188873
mcs10_r005_s25_AB01 0 0.675072
mcs10_r005_s25_AB02 0 0.325312
mcs10_r005_s25_AB03 0 1.775596
mcs10_r005_s25_AB04 0 1.584629
mcs10_r005_s25_AB05 0 0.940621
mcs10_r005_s25_AB06 0 1.849310
mcs10_r005_s25_AB07 0 0.823506
mcs10_r005_s25_AB08 0 1.811874
mcs10_r005_s25_AB09 0 4.495426
mcs10_r005_s30_AB00 0 33.432434
mcs10_r005_s30_AB01 0 15.293714
mcs10_r005_s30_AB02 0 45.034203
mcs10_r005_s30_AB03 0 27.735701
mcs10_r005_s30_AB04 0 50.359871
mcs10_r005_s30_AB05 0 49.082794
mcs10_r005_s30_AB06 0 45.106216
mcs10_r005_s30_AB07 0 408.176636
mcs10_r005_s30_AB08 0 34.036312
mcs10_r005_s30_AB09 0 139.227844
mcs10_r005_s35_AB00 0 1000.000000
mcs10_r005_s35_AB01 0 585.846252
mcs10_r005_s35_AB02 0 1000.000000
mcs10_r005_s35_AB03 0 1000.000000
