instance family
mcs10_b03_s40_AB00 0 1000000
mcs10_b03_s40_AB01 0 1000000
mcs10_b03_s40_AB02 0 1000000
mcs10_b03_s40_AB03 0 1000000
mcs10_b03_s40_AB04 0 1000000
mcs10_b03_s40_AB05 0 1000000
mcs10_b03_s40_AB06 0 1000000
mcs10_b03_s40_AB07 0 1000000
mcs10_b03_s40_AB08 0 1000000
mcs10_b03_s40_AB09 0 1000000
mcs10_b03_s50_AB00 0 1000000
mcs10_b03_s50_AB01 0 1000000
mcs10_b03_s50_AB02 0 1000000
mcs10_b03_s50_AB03 0 1000000
mcs10_b03_s50_AB04 0 1000000
mcs10_b03_s50_AB05 0 1000000
mcs10_b03_s50_AB06 0 1000000
mcs10_b03_s50_AB07 0 1000000
mcs10_b03_s50_AB08 0 1000000
mcs10_b03_s50_AB09 0 1000000
mcs10_b03m_s40_AB00 0 1000000
mcs10_b03m_s40_AB01 0 1000000
mcs10_b03m_s40_AB02 0 1000000
mcs10_b03m_s40_AB03 0 1000000
mcs10_b03m_s40_AB04 0 1000000
mcs10_b03m_s40_AB05 0 1000000
mcs10_b03m_s40_AB06 0 1000000
mcs10_b03m_s40_AB07 0 1000000
mcs10_b03m_s40_AB08 0 1000000
mcs10_b03m_s40_AB09 0 136099
mcs10_b03m_s50_AB00 0 1000000
mcs10_b03m_s50_AB01 0 1000000
mcs10_b03m_s50_AB02 0 1000000
mcs10_b03m_s50_AB03 0 1000000
mcs10_b03m_s50_AB04 0 1000000
mcs10_b03m_s50_AB05 0 1000000
mcs10_b03m_s50_AB06 0 1000000
mcs10_b03m_s50_AB07 0 1000000
mcs10_b03m_s50_AB08 0 1000000
mcs10_b03m_s50_AB09 0 1000000
mcs10_m2D_s40_AB00 0 1000000
mcs10_m2D_s40_AB01 0 1000000
mcs10_m2D_s40_AB02 0 1000000
mcs10_m2D_s40_AB03 0 1000000
mcs10_m2D_s40_AB04 0 1000000
mcs10_m2D_s40_AB05 0 1000000
mcs10_m2D_s40_AB06 0 1000000
mcs10_m2D_s40_AB07 0 1000000
mcs10_m2D_s40_AB08 0 1000000
mcs10_m2D_s40_AB09 0 1000000
mcs10_m2D_s50_AB00 0 1000000
mcs10_m2D_s50_AB01 0 1000000
mcs10_m2D_s50_AB02 0 1000000
mcs10_m2D_s50_AB03 0 1000000
mcs10_m2D_s50_AB04 0 1000000
mcs10_m2D_s50_AB05 0 1000000
mcs10_m2D_s50_AB06 0 1000000
mcs10_m2D_s50_AB07 0 1000000
mcs10_m2D_s50_AB08 0 1000000
mcs10_m2D_s50_AB09 0 1000000
mcs10_m2Dr4_s40_AB00 0 1000000
mcs10_m2Dr4_s40_AB01 0 1000000
mcs10_m2Dr4_s40_AB02 0 1000000
mcs10_m2Dr4_s40_AB03 0 1000000
mcs10_m2Dr4_s40_AB04 0 1000000
mcs10_m2Dr4_s40_AB05 0 1000000
mcs10_m2Dr4_s40_AB06 0 1000000
mcs10_m2Dr4_s40_AB07 0 1000000
mcs10_m2Dr4_s40_AB08 0 1000000
mcs10_m2Dr4_s40_AB09 0 1000000
mcs10_m2Dr4_s50_AB00 0 1000000
mcs10_m2Dr4_s50_AB01 0 1000000
mcs10_m2Dr4_s50_AB02 0 1000000
mcs10_m2Dr4_s50_AB03 0 1000000
mcs10_m2Dr4_s50_AB04 0 1000000
mcs10_m2Dr4_s50_AB05 0 1000000
mcs10_m2Dr4_s50_AB06 0 1000000
mcs10_m2Dr4_s50_AB07 0 1000000
mcs10_m2Dr4_s50_AB08 0 1000000
mcs10_m2Dr4_s50_AB09 0 1000000
mcs10_m2Dr6_s40_AB00 0 1000000
mcs10_m2Dr6_s40_AB01 0 1000000
mcs10_m2Dr6_s40_AB02 0 1000000
mcs10_m2Dr6_s40_AB03 0 1000000
mcs10_m2Dr6_s40_AB04 0 1000000
mcs10_m2Dr6_s40_AB05 0 1000000
mcs10_m2Dr6_s40_AB06 0 1000000
mcs10_m2Dr6_s40_AB07 0 1000000
mcs10_m2Dr6_s40_AB08 0 1000000
mcs10_m2Dr6_s40_AB09 0 1000000
mcs10_m2Dr6_s50_AB00 0 1000000
mcs10_m2Dr6_s50_AB01 0 1000000
mcs10_m2Dr6_s50_AB02 0 1000000
mcs10_m2Dr6_s50_AB03 0 1000000
mcs10_m2Dr6_s50_AB04 0 1000000
mcs10_m2Dr6_s50_AB05 0 1000000
mcs10_m2Dr6_s50_AB06 0 1000000
mcs10_m2Dr6_s50_AB07 0 1000000
mcs10_m2Dr6_s50_AB08 0 1000000
mcs10_m2Dr6_s50_AB09 0 1000000
mcs10_r005_s20_AB00 0 90
mcs10_r005_s20_AB01 0 1017
mcs10_r005_s20_AB02 0 235
mcs10_r005_s20_AB03 0 43
mcs10_r005_s20_AB04 0 140
mcs10_r005_s20_AB05 0 2362
mcs10_r005_s20_AB06 0 62
mcs10_r005_s20_AB07 0 479
mcs10_r005_s20_AB08 0 749
mcs10_r005_s20_AB09 0 385
mcs10_r005_s25_AB00 0 37413
mcs10_r005_s25_AB01 0 3536
mcs10_r005_s25_AB02 0 560
mcs10_r005_s25_AB03 0 2256
mcs10_r005_s25_AB04 0 1108
mcs10_r005_s25_AB05 0 1535
mcs10_r005_s25_AB06 0 835
mcs10_r005_s25_AB07 0 384
mcs10_r005_s25_AB08 0 37829
mcs10_r005_s25_AB09 0 11982
mcs10_r005_s30_AB00 0 18065
mcs10_r005_s30_AB01 0 26698
mcs10_r005_s30_AB02 0 105379
mcs10_r005_s30_AB03 0 22110
mcs10_r005_s30_AB04 0 32028
mcs10_r005_s30_AB05 0 19872
mcs10_r005_s30_AB06 0 136496
mcs10_r005_s30_AB07 0 243506
mcs10_r005_s30_AB08 0 54879
mcs10_r005_s30_AB09 0 812509
mcs10_r005_s35_AB00 0 645384
mcs10_r005_s35_AB01 0 1000000
mcs10_r005_s35_AB02 0 1000000
mcs10_r005_s35_AB03 0 1000000
mcs10_r005_s35_AB04 0 414869
mcs10_r005_s35_AB05 0 434130
mcs10_r005_s35_AB06 0 609558
mcs10_r005_s35_AB07 0 1000000
mcs10_r005_s35_AB08 0 376413
mcs10_r005_s35_AB09 0 271626
mcs10_r005_s40_AB00 0 1000000
mcs10_r005_s40_AB01 0 1000000
mcs10_r005_s40_AB02 0 1000000
mcs10_r005_s40_AB03 0 1000000
mcs10_r005_s40_AB04 0 1000000
mcs10_r005_s40_AB05 0 1000000
mcs10_r005_s40_AB06 0 1000000
mcs10_r005_s40_AB07 0 1000000
mcs10_r005_s40_AB08 0 1000000
mcs10_r005_s40_AB09 0 1000000
mcs10_r005_s50_AB00 0 1000000
mcs10_r005_s50_AB01 0 1000000
mcs10_r005_s50_AB02 0 1000000
mcs10_r005_s50_AB03 0 1000000
mcs10_r005_s50_AB04 0 1000000
mcs10_r005_s50_AB05 0 1000000
mcs10_r005_s50_AB06 0 1000000
mcs10_r005_s50_AB07 0 1000000
mcs10_r005_s50_AB08 0 1000000
mcs10_r005_s50_AB09 0 1000000
mcs10_r01_s20_AB00 0 949
mcs10_r01_s20_AB01 0 697
mcs10_r01_s20_AB02 0 1083
mcs10_r01_s20_AB03 0 324
mcs10_r01_s20_AB04 0 242
mcs10_r01_s20_AB05 0 491
mcs10_r01_s20_AB06 0 1589
mcs10_r01_s20_AB07 0 1360
mcs10_r01_s20_AB08 0 2500
mcs10_r01_s20_AB09 0 500
mcs10_r01_s25_AB00 0 9833
mcs10_r01_s25_AB01 0 25630
mcs10_r01_s25_AB02 0 27402
mcs10_r01_s25_AB03 0 13374
mcs10_r01_s25_AB04 0 29455
mcs10_r01_s25_AB05 0 34781
mcs10_r01_s25_AB06 0 21926
mcs10_r01_s25_AB07 0 24570
mcs10_r01_s25_AB08 0 12938
mcs10_r01_s25_AB09 0 21437
mcs10_r01_s30_AB00 0 860615
mcs10_r01_s30_AB01 0 248668
mcs10_r01_s30_AB02 0 493353
mcs10_r01_s30_AB03 0 1000000
mcs10_r01_s30_AB04 0 307141
mcs10_r01_s30_AB05 0 653467
mcs10_r01_s30_AB06 0 713533
mcs10_r01_s30_AB07 0 457883
mcs10_r01_s30_AB08 0 828320
mcs10_r01_s30_AB09 0 659891
mcs10_r01_s35_AB00 0 1000000
mcs10_r01_s35_AB01 0 1000000
mcs10_r01_s35_AB02 0 1000001
mcs10_r01_s35_AB03 0 1000000
mcs10_r01_s35_AB04 0 1000000
mcs10_r01_s35_AB05 0 1000000
mcs10_r01_s35_AB06 0 1000000
mcs10_r01_s35_AB07 0 1000000
mcs10_r01_s35_AB08 0 1000000
mcs10_r01_s35_AB09 0 1000000
mcs10_r01_s40_AB00 0 1000000
mcs10_r01_s40_AB01 0 1000001
mcs10_r01_s40_AB02 0 1000000
mcs10_r01_s40_AB03 0 1000000
mcs10_r01_s40_AB04 0 1000000
mcs10_r01_s40_AB05 0 1000000
mcs10_r01_s40_AB06 0 1000000
mcs10_r01_s40_AB07 0 1000000
mcs10_r01_s40_AB08 0 1000000
