instance family
F.04 1 100000000
C.18 1 100000000
A.04 1 100000000
C.02 1 100000000
E.01 1 100000000
F.20 1 100000000
B.20 1 100000000
C.08 1 100000000
B.11 1 100000000
C.10 1 100000000
B.06 1 100000000
F.08 1 100000000
B.07 1 100000000
E.04 1 100000000
C.01 1 100000000
B.10 1 100000000
A.15 1 100000000
C.19 1 100000000
B.02 1 100000000
E.06 1 100000000
E.18 1 100000000
C.20 1 100000000
F.02 1 100000000
F.11 1 100000000
F.12 1 100000000
E.05 1 100000000
B.16 1 100000000
A.08 1 100000000
C.14 1 100000000
F.16 1 100000000
F.06 1 100000000
A.03 1 100000000
E.19 1 100000000
C.15 1 100000000
A.16 1 100000000
B.14 1 100000000
A.02 1 100000000
F.14 1 100000000
F.05 1 100000000
B.09 1 100000000
A.01 1 100000000
C.05 1 100000000
B.01 1 100000000
A.09 1 100000000
A.07 1 100000000
F.03 1 100000000
E.12 1 100000000
C.06 1 100000000
C.09 1 100000000
B.17 1 100000000
C.07 1 100000000
E.09 1 100000000
E.17 1 100000000
C.11 1 100000000
F.10 1 100000000
A.17 1 100000000
B.15 1 100000000
E.03 1 100000000
F.19 1 100000000
A.12 1 100000000
B.08 1 100000000
F.17 1 100000000
C.04 1 100000000
B.19 1 100000000
C.16 1 100000000
C.17 1 100000000
E.08 1 100000000
F.13 1 100000000
A.20 1 100000000
E.02 1 100000000
E.16 1 100000000
B.12 1 100000000
F.09 1 100000000
A.10 1 100000000
F.18 1 100000000
E.10 1 100000000
A.06 1 100000000
E.15 1 100000000
E.07 1 100000000
E.11 1 100000000
B.03 1 100000000
B.18 1 100000000
C.03 1 100000000
A.18 1 100000000
F.15 1 100000000
A.19 1 100000000
C.12 1 100000000
B.05 1 100000000
A.13 1 100000000
A.05 1 100000000
F.01 1 100000000
E.20 1 100000000
B.13 1 100000000
A.14 1 100000000
B.04 1 100000000
C.13 1 100000000
F.07 1 100000000
E.13 1 100000000
E.14 1 100000000
A.11 1 100000000
si6_r005_m400.07 7 100000000
si6_r005_m400.00 7 100000000
si6_r005_m400.01 7 100000000
si6_r005_m400.02 7 100000000
si6_r005_m400.04 7 100000000
si6_r005_m400.05 7 100000000
si6_r005_m400.09 7 100000000
si6_r005_m400.03 7 100000000
si6_r005_m400.06 7 100000000
si6_r005_m400.08 7 100000000
si6_m4Dr6_m625.04 6 100000000
si6_m4Dr6_m625.01 6 100000000
si6_m4Dr6_m625.09 6 100000000
si6_m4Dr6_m625.07 6 100000000
si6_m4Dr6_m625.00 6 100000000
si6_m4Dr6_m625.08 6 100000000
si6_m4Dr6_m625.05 6 100000000
si6_m4Dr6_m625.06 6 100000000
si6_m4Dr6_m625.02 6 100000000
si6_m4Dr6_m625.03 6 100000000
si4_m4Dr2_m625.09 6 100000000
si4_m4Dr2_m625.04 6 100000000
si4_m4Dr2_m625.02 6 100000000
si4_m4Dr2_m625.07 6 100000000
si4_m4Dr2_m625.00 6 100000000
si4_m4Dr2_m625.08 6 100000000
si4_m4Dr2_m625.01 6 100000000
si4_m4Dr2_m625.06 6 100000000
si4_m4Dr2_m625.03 6 100000000
si4_m4Dr2_m625.05 6 100000000
si2_r001_m600.00 7 100000000
si2_r001_m600.06 7 100000000
si2_r001_m600.04 7 100000000
si2_r001_m600.07 7 100000000
si2_r001_m600.02 7 100000000
si2_r001_m600.08 7 100000000
si2_r001_m600.03 7 100000000
si2_r001_m600.01 7 100000000
si2_r001_m600.05 7 100000000
si2_r001_m600.09 7 100000000
si2_m4Dr2_m256.09 6 1000009
si2_m4Dr2_m256.03 6 1000007
si2_m4Dr2_m256.04 6 1000007
si2_m4Dr2_m256.07 6 1000007
si2_m4Dr2_m256.00 6 1000007
si2_m4Dr2_m256.06 6 1000009
si2_m4Dr2_m256.08 6 1000007
