instance family mcis-fc-induced
F.04 1 1000.000183
C.18 1 1e8
A.04 1 1000.000183
C.02 1 1e8
E.01 1 1000.000122
F.20 1 1000.000122
B.20 1 1e8
C.08 1 1e8
B.11 1 1e8
C.10 1 1e8
B.06 1 1e8
F.08 1 1000.000000
B.07 1 1e8
E.04 1 1000.000122
C.01 1 1e8
B.10 1 1e8
A.15 1 1000.000183
C.19 1 1e8
B.02 1 1e8
E.06 1 1000.000122
E.18 1 1000.000122
C.20 1 1e8
F.02 1 1000.000122
F.11 1 1000.000122
F.12 1 1000.000000
E.05 1 1000.000122
B.16 1 1e8
A.08 1 1000.000183
C.14 1 1e8
F.16 1 1000.000122
F.06 1 1000.000122
A.03 1 1000.000183
E.19 1 1000.000122
C.15 1 1e8
A.16 1 1000.000183
B.14 1 1e8
A.02 1 1000.000122
F.14 1 1000.000122
F.05 1 1000.000122
B.09 1 1e8
A.01 1 1000.000122
C.05 1 1e8
B.01 1 1e8
A.09 1 1000.000183
A.07 1 1000.000183
F.03 1 1000.000122
E.12 1 1000.000122
C.06 1 1e8
C.09 1 1e8
B.17 1 1e8
C.07 1 1e8
E.09 1 1000.000122
E.17 1 1000.000122
C.11 1 1e8
F.10 1 1000.000183
A.17 1 1000.000183
B.15 1 1e8
E.03 1 1000.000122
F.19 1 1000.000122
A.12 1 1000.000183
B.08 1 1e8
F.17 1 1000.000122
C.04 1 1e8
B.19 1 1e8
C.16 1 1e8
C.17 1 1e8
E.08 1 1000.000122
F.13 1 1000.000122
A.20 1 1000.000122
E.02 1 1000.000122
E.16 1 1000.000122
B.12 1 1e8
F.09 1 1000.000122
A.10 1 1000.000183
F.18 1 1000.000122
E.10 1 1000.000122
A.06 1 1000.000122
E.15 1 1000.000122
E.07 1 1000.000122
E.11 1 1000.000122
B.03 1 1e8
B.18 1 1e8
C.03 1 1e8
A.18 1 1000.000183
F.15 1 1000.000122
A.19 1 1000.000183
C.12 1 1e8
B.05 1 1e8
A.13 1 1000.000122
A.05 1 1000.000122
F.01 1 1000.000122
E.20 1 1000.000122
B.13 1 1e8
A.14 1 1000.000183
