instance family
F.04 1 231
C.18 1 2039
A.04 1 46
C.02 1 2077
E.01 1 1000000
F.20 1 230
B.20 1 579
C.08 1 2095
B.11 1 567
C.10 1 2102
B.06 1 631
F.08 1 301
B.07 1 743
E.04 1 1000000
C.01 1 2022
B.10 1 552
A.15 1 48
C.19 1 2078
B.02 1 555
E.06 1 1000000
E.18 1 1000000
C.20 1 2360
F.02 1 229
F.11 1 228
F.12 1 231
E.05 1 1000000
B.16 1 569
A.08 1 46
C.14 1 2038
F.16 1 270
F.06 1 235
A.03 1 47
E.19 1 1000000
C.15 1 2161
A.16 1 67
B.14 1 626
A.02 1 65
F.14 1 226
F.05 1 228
B.09 1 577
A.01 1 51
C.05 1 2011
B.01 1 566
A.09 1 47
A.07 1 46
F.03 1 235
E.12 1 1000000
C.06 1 2060
C.09 1 2007
B.17 1 618
C.07 1 2126
E.09 1 1000000
E.17 1 1000000
C.11 1 2013
F.10 1 1000000
A.17 1 56
B.15 1 553
E.03 1 1000000
F.19 1 354
A.12 1 45
B.08 1 568
F.17 1 243
C.04 1 2075
B.19 1 567
C.16 1 2123
C.17 1 2036
E.08 1 1000000
F.13 1 241
A.20 1 78
E.02 1 1000000
E.16 1 1000000
B.12 1 560
F.09 1 312
A.10 1 46
F.18 1 236
E.10 1 226
A.06 1 47
E.15 1 1000000
E.07 1 1000000
E.11 1 1000000
B.03 1 665
B.18 1 552
C.03 1 2032
A.18 1 50
F.15 1 249
A.19 1 49
C.12 1 2007
B.05 1 616
A.13 1 73
A.05 1 46
F.01 1 246
E.20 1 1000000
B.13 1 549
A.14 1 48
B.04 1 616
C.13 1 2047
F.07 1 246
E.13 1 1000000
E.14 1 1000000
A.11 1 47
si6_r005_m400.07 7 11577
si6_r005_m400.00 7 9339
si6_r005_m400.01 7 4015
si6_r005_m400.02 7 3627
si6_r005_m400.04 7 3664
si6_r005_m400.05 7 14757
si6_r005_m400.09 7 2426
si6_r005_m400.03 7 7236
si6_r005_m400.06 7 2736
si6_r005_m400.08 7 4264
si6_m4Dr6_m625.04 6 423
si6_m4Dr6_m625.01 6 476
si6_m4Dr6_m625.09 6 456
si6_m4Dr6_m625.07 6 418
si6_m4Dr6_m625.00 6 435
si6_m4Dr6_m625.08 6 464
si6_m4Dr6_m625.05 6 411
si6_m4Dr6_m625.06 6 466
si6_m4Dr6_m625.02 6 548
si6_m4Dr6_m625.03 6 436
