instance family
mcs10_b03_s40_AB00 0 18822
mcs10_b03_s40_AB01 0 5291
mcs10_b03_s40_AB02 0 56547
mcs10_b03_s40_AB03 0 15333
mcs10_b03_s40_AB04 0 8564
mcs10_b03_s40_AB05 0 10033
mcs10_b03_s40_AB06 0 12473
mcs10_b03_s40_AB07 0 131798
mcs10_b03_s40_AB08 0 13226
mcs10_b03_s40_AB09 0 13656
mcs10_b03_s50_AB00 0 1000004
mcs10_b03_s50_AB01 0 279920
mcs10_b03_s50_AB02 0 685392
mcs10_b03_s50_AB03 0 434447
mcs10_b03_s50_AB04 0 545676
mcs10_b03_s50_AB05 0 451063
mcs10_b03_s50_AB06 0 1000011
mcs10_b03_s50_AB07 0 829681
mcs10_b03_s50_AB08 0 489207
mcs10_b03_s50_AB09 0 676874
mcs10_b03m_s40_AB00 0 7239
mcs10_b03m_s40_AB01 0 46986
mcs10_b03m_s40_AB02 0 4365
mcs10_b03m_s40_AB03 0 25054
mcs10_b03m_s40_AB04 0 7144
mcs10_b03m_s40_AB05 0 37009
mcs10_b03m_s40_AB06 0 12183
mcs10_b03m_s40_AB07 0 16329
mcs10_b03m_s40_AB08 0 22242
mcs10_b03m_s40_AB09 0 6911
mcs10_b03m_s50_AB00 0 348085
mcs10_b03m_s50_AB01 0 1000002
mcs10_b03m_s50_AB02 0 1000016
mcs10_b03m_s50_AB03 0 1000019
mcs10_b03m_s50_AB04 0 995100
mcs10_b03m_s50_AB05 0 1000014
mcs10_b03m_s50_AB06 0 330374
mcs10_b03m_s50_AB07 0 62311
mcs10_b03m_s50_AB08 0 1000014
mcs10_b03m_s50_AB09 0 834785
mcs10_m2D_s40_AB00 0 25150
mcs10_m2D_s40_AB01 0 24344
mcs10_m2D_s40_AB02 0 31976
mcs10_m2D_s40_AB03 0 26503
mcs10_m2D_s40_AB04 0 12451
mcs10_m2D_s40_AB05 0 43076
mcs10_m2D_s40_AB06 0 41727
mcs10_m2D_s40_AB07 0 29195
mcs10_m2D_s40_AB08 0 14629
mcs10_m2D_s40_AB09 0 46021
mcs10_m2D_s50_AB00 0 1000009
mcs10_m2D_s50_AB01 0 1000012
mcs10_m2D_s50_AB02 0 1000011
mcs10_m2D_s50_AB03 0 1000005
mcs10_m2D_s50_AB04 0 933595
mcs10_m2D_s50_AB05 0 1000011
mcs10_m2D_s50_AB06 0 706581
mcs10_m2D_s50_AB07 0 1000004
mcs10_m2D_s50_AB08 0 1000012
mcs10_m2D_s50_AB09 0 1000005
mcs10_m2Dr4_s40_AB00 0 85177
mcs10_m2Dr4_s40_AB01 0 80742
mcs10_m2Dr4_s40_AB02 0 431084
mcs10_m2Dr4_s40_AB03 0 84998
mcs10_m2Dr4_s40_AB04 0 172232
mcs10_m2Dr4_s40_AB05 0 86168
mcs10_m2Dr4_s40_AB06 0 552204
mcs10_m2Dr4_s40_AB07 0 151061
mcs10_m2Dr4_s40_AB08 0 75927
mcs10_m2Dr4_s40_AB09 0 107370
mcs10_m2Dr4_s50_AB00 0 1000019
mcs10_m2Dr4_s50_AB01 0 1000002
mcs10_m2Dr4_s50_AB02 0 1000011
mcs10_m2Dr4_s50_AB03 0 1000005
mcs10_m2Dr4_s50_AB04 0 1000014
mcs10_m2Dr4_s50_AB05 0 1000002
mcs10_m2Dr4_s50_AB06 0 1000009
mcs10_m2Dr4_s50_AB07 0 1000020
mcs10_m2Dr4_s50_AB08 0 1000003
mcs10_m2Dr4_s50_AB09 0 1000008
mcs10_m2Dr6_s40_AB00 0 402017
mcs10_m2Dr6_s40_AB01 0 391961
mcs10_m2Dr6_s40_AB02 0 1000011
mcs10_m2Dr6_s40_AB03 0 262287
mcs10_m2Dr6_s40_AB04 0 477419
mcs10_m2Dr6_s40_AB05 0 189975
mcs10_m2Dr6_s40_AB06 0 125229
mcs10_m2Dr6_s40_AB07 0 143299
mcs10_m2Dr6_s40_AB08 0 1000017
mcs10_m2Dr6_s40_AB09 0 162173
mcs10_m2Dr6_s50_AB00 0 1000009
mcs10_m2Dr6_s50_AB01 0 1000003
mcs10_m2Dr6_s50_AB02 0 1000018
mcs10_m2Dr6_s50_AB03 0 1000004
mcs10_m2Dr6_s50_AB04 0 1000006
mcs10_m2Dr6_s50_AB05 0 1000011
mcs10_m2Dr6_s50_AB06 0 1000013
mcs10_m2Dr6_s50_AB07 0 1000016
mcs10_m2Dr6_s50_AB08 0 1000015
mcs10_m2Dr6_s50_AB09 0 1000015
mcs10_r005_s20_AB00 0 2
mcs10_r005_s20_AB01 0 2
mcs10_r005_s20_AB02 0 2
mcs10_r005_s20_AB03 0 2
mcs10_r005_s20_AB04 0 3
mcs10_r005_s20_AB05 0 10
mcs10_r005_s20_AB06 0 1
mcs10_r005_s20_AB07 0 2
mcs10_r005_s20_AB08 0 7
mcs10_r005_s20_AB09 0 6
mcs10_r005_s25_AB00 0 96
mcs10_r005_s25_AB01 0 18
mcs10_r005_s25_AB02 0 13
mcs10_r005_s25_AB03 0 23
mcs10_r005_s25_AB04 0 14
mcs10_r005_s25_AB05 0 4
mcs10_r005_s25_AB06 0 12
mcs10_r005_s25_AB07 0 32
mcs10_r005_s25_AB08 0 16
mcs10_r005_s25_AB09 0 43
mcs10_r005_s30_AB00 0 207
mcs10_r005_s30_AB01 0 393
mcs10_r005_s30_AB02 0 651
mcs10_r005_s30_AB03 0 340
mcs10_r005_s30_AB04 0 419
mcs10_r005_s30_AB05 0 249
mcs10_r005_s30_AB06 0 1265
mcs10_r005_s30_AB07 0 481
mcs10_r005_s30_AB08 0 25
mcs10_r005_s30_AB09 0 275
mcs10_r005_s35_AB00 0 5848
mcs10_r005_s35_AB01 0 3962
mcs10_r005_s35_AB02 0 6764
mcs10_r005_s35_AB03 0 16974
mcs10_r005_s35_AB04 0 7744
mcs10_r005_s35_AB05 0 1807
mcs10_r005_s35_AB06 0 5448
mcs10_r005_s35_AB07 0 14997
mcs10_r005_s35_AB08 0 2327
mcs10_r005_s35_AB09 0 2228
mcs10_r005_s40_AB00 0 130621
mcs10_r005_s40_AB01 0 148076
mcs10_r005_s40_AB02 0 290942
mcs10_r005_s40_AB03 0 112241
mcs10_r005_s40_AB04 0 392299
mcs10_r005_s40_AB05 0 244659
mcs10_r005_s40_AB06 0 132480
mcs10_r005_s40_AB07 0 133331
mcs10_r005_s40_AB08 0 116720
mcs10_r005_s40_AB09 0 179494
mcs10_r005_s50_AB00 0 1000004
mcs10_r005_s50_AB01 0 1000001
mcs10_r005_s50_AB02 0 1000026
mcs10_r005_s50_AB03 0 1000019
mcs10_r005_s50_AB04 0 1000018
mcs10_r005_s50_AB05 0 1000009
mcs10_r005_s50_AB06 0 1000018
mcs10_r005_s50_AB07 0 1000018
mcs10_r005_s50_AB08 0 1000003
mcs10_r005_s50_AB09 0 1000014
mcs10_r01_s20_AB00 0 18
mcs10_r01_s20_AB01 0 14
mcs10_r01_s20_AB02 0 16
mcs10_r01_s20_AB03 0 7
mcs10_r01_s20_AB04 0 10
mcs10_r01_s20_AB05 0 7
mcs10_r01_s20_AB06 0 24
mcs10_r01_s20_AB07 0 6
mcs10_r01_s20_AB08 0 11
mcs10_r01_s20_AB09 0 8
mcs10_r01_s25_AB00 0 450
mcs10_r01_s25_AB01 0 322
mcs10_r01_s25_AB02 0 320
mcs10_r01_s25_AB03 0 285
mcs10_r01_s25_AB04 0 488
mcs10_r01_s25_AB05 0 413
mcs10_r01_s25_AB06 0 147
mcs10_r01_s25_AB07 0 93
mcs10_r01_s25_AB08 0 297
