instance clique cp-fc cp-mac james-cpp-max
mcs10_b03_s100_AB00 501161133 NaN NaN NaN
mcs10_b03_s100_AB01 NaN NaN NaN NaN
mcs10_b03_s100_AB02 NaN NaN NaN NaN
mcs10_b03_s100_AB03 NaN NaN NaN NaN
mcs10_b03_s100_AB04 518851678 NaN NaN NaN
mcs10_b03_s100_AB05 NaN NaN NaN NaN
mcs10_b03_s100_AB06 NaN NaN NaN 595337361
mcs10_b03_s100_AB07 NaN NaN NaN NaN
mcs10_b03_s100_AB08 NaN NaN NaN NaN
mcs10_b03_s100_AB09 NaN NaN NaN NaN
mcs10_b03_s40_AB00 11443 1237248.000000 1016784.000000 800474
mcs10_b03_s40_AB01 10164 1852052.000000 1358964.000000 520548
mcs10_b03_s40_AB02 22824 1249753.000000 1013560.000000 204567
mcs10_b03_s40_AB03 62399 1073903.000000 695596.000000 556052
mcs10_b03_s40_AB04 347148 1649758.000000 853692.000000 233125
mcs10_b03_s40_AB05 599351 8361025.000000 5362578.000000 2529341
mcs10_b03_s40_AB06 57081 351634.000000 185223.000000 1332485
mcs10_b03_s40_AB07 4446784 262858.000000 149226.000000 601774
mcs10_b03_s40_AB08 65813 527406.000000 396109.000000 193121
mcs10_b03_s40_AB09 39071 530505.000000 439194.000000 641336
mcs10_b03_s50_AB00 5655309 197804562.000000 150786003.000000 36453478
mcs10_b03_s50_AB01 223085787 NaN NaN 114689246
mcs10_b03_s50_AB02 162428628 NaN NaN 456260004
mcs10_b03_s50_AB03 3724871 103146162.000000 66952729.000000 21314076
mcs10_b03_s50_AB04 22191424 262771966.000000 169994271.000000 49107336
mcs10_b03_s50_AB05 801806 NaN NaN 22555916
mcs10_b03_s50_AB06 17059735 NaN NaN 75148841
mcs10_b03_s50_AB07 294630496 NaN NaN 160472218
mcs10_b03_s50_AB08 16981410 22547717.000000 16747335.000000 5665853
mcs10_b03_s50_AB09 16621972 180860237.000000 99048680.000000 42823095
mcs10_b03_s60_AB00 3888440 57517517.000000 38204129.000000 15664207
mcs10_b03_s60_AB01 32880 28433526.000000 24201086.000000 3203793
mcs10_b03_s60_AB02 18447201 52127534.000000 34174643.000000 38393981
mcs10_b03_s60_AB03 264786 142386524.000000 115732844.000000 32482716
mcs10_b03_s60_AB04 975518 11595458.000000 3490962.000000 8168037
mcs10_b03_s60_AB05 57377517 67432857.000000 53446640.000000 56578339
mcs10_b03_s60_AB06 5941852 145062875.000000 98592793.000000 59564310
mcs10_b03_s60_AB07 3276013 146654857.000000 119254262.000000 94328802
mcs10_b03_s60_AB08 1622987 165407980.000000 122648578.000000 56658900
mcs10_b03_s60_AB09 70224227 57024470.000000 40421309.000000 29009465
mcs10_b03_s70_AB00 11630692 NaN NaN 288702383
mcs10_b03_s70_AB01 4958483 NaN NaN 466074504
mcs10_b03_s70_AB02 222556133 NaN NaN 491536961
mcs10_b03_s70_AB03 321458115 NaN NaN NaN
mcs10_b03_s70_AB04 431314586 NaN NaN 1604682159
mcs10_b03_s70_AB05 11288333 NaN NaN 1247556793
mcs10_b03_s70_AB06 405427684 NaN NaN NaN
mcs10_b03_s70_AB07 21843466 NaN NaN 1055098348
mcs10_b03_s70_AB08 524289042 NaN NaN 2852589046
mcs10_b03_s70_AB09 8198507 NaN NaN 1247514610
mcs10_b03_s80_AB00 NaN NaN NaN NaN
mcs10_b03_s80_AB01 NaN NaN NaN NaN
mcs10_b03_s80_AB02 NaN NaN NaN NaN
mcs10_b03_s80_AB03 NaN NaN NaN NaN
mcs10_b03_s80_AB04 NaN NaN NaN NaN
mcs10_b03_s80_AB05 NaN NaN NaN NaN
mcs10_b03_s80_AB06 822322921 NaN NaN NaN
mcs10_b03_s80_AB07 NaN NaN NaN 191335970
mcs10_b03_s80_AB08 NaN NaN NaN NaN
mcs10_b03_s80_AB09 NaN NaN NaN NaN
