instance clique cp-fc cp-mac james-cpp-max
mcs10_b03_s100_AB00 447146 1000.000061 1000.000061 1000000
mcs10_b03_s100_AB01 1000000 1000.000061 1000.000061 1000000
mcs10_b03_s100_AB02 1000000 1000.000061 1000.000061 1000000
mcs10_b03_s100_AB03 1000000 1000.000061 1000.000061 1000000
mcs10_b03_s100_AB04 823792 1000.000061 1000.000061 1000000
mcs10_b03_s100_AB05 1000000 1000.000061 1000.000061 1000000
mcs10_b03_s100_AB06 1000000 1000.000061 1000.000122 250049
mcs10_b03_s100_AB07 1000000 1000.000061 1000.000122 1000000
mcs10_b03_s100_AB08 1000000 1000.000061 1000.000061 1000000
mcs10_b03_s100_AB09 1000001 1000.000061 1000.000061 1000000
mcs10_b03_s40_AB00 19 4.156788 4.192996 221
mcs10_b03_s40_AB01 17 5.831390 6.565029 144
mcs10_b03_s40_AB02 25 4.278277 4.341342 53
mcs10_b03_s40_AB03 68 3.543478 2.769426 210
mcs10_b03_s40_AB04 201 4.919560 3.133409 59
mcs10_b03_s40_AB05 401 27.162733 22.975273 681
mcs10_b03_s40_AB06 32 1.149429 1.023779 328
mcs10_b03_s40_AB07 2153 1.066083 0.779626 157
mcs10_b03_s40_AB08 57 1.719966 1.527880 56
mcs10_b03_s40_AB09 35 1.978492 1.782894 170
mcs10_b03_s50_AB00 6929 807.873474 719.010803 10673
mcs10_b03_s50_AB01 159545 1000.000000 1000.000000 29571
mcs10_b03_s50_AB02 150308 1000.000000 1000.000000 113637
mcs10_b03_s50_AB03 4396 413.698792 355.806488 6055
mcs10_b03_s50_AB04 22086 982.274902 917.850098 12695
mcs10_b03_s50_AB05 755 1000.000000 1000.000000 5649
mcs10_b03_s50_AB06 17370 1000.000000 1000.000000 24420
mcs10_b03_s50_AB07 151867 1000.000000 1000.000000 40095
mcs10_b03_s50_AB08 13727 86.396156 75.682625 1896
mcs10_b03_s50_AB09 17704 694.927612 527.515564 11077
mcs10_b03_s60_AB00 3549 236.112091 189.378159 5002
mcs10_b03_s60_AB01 45 111.971031 105.980988 1139
mcs10_b03_s60_AB02 10101 206.200043 163.800293 12302
mcs10_b03_s60_AB03 277 542.831604 518.161621 9028
mcs10_b03_s60_AB04 781 42.603825 20.316416 2861
mcs10_b03_s60_AB05 48764 275.852600 269.023621 18330
mcs10_b03_s60_AB06 4527 533.100159 442.164856 18258
mcs10_b03_s60_AB07 3007 593.286438 544.080505 27243
mcs10_b03_s60_AB08 1688 590.130981 515.643555 17771
mcs10_b03_s60_AB09 52643 210.431335 193.880753 7069
mcs10_b03_s70_AB00 16673 1000.000000 1000.000061 112471
mcs10_b03_s70_AB01 5721 1000.000000 1000.000000 133687
mcs10_b03_s70_AB02 271732 1000.000000 1000.000061 174636
mcs10_b03_s70_AB03 310341 1000.000000 1000.000000 1000000
mcs10_b03_s70_AB04 580726 1000.000000 1000.000000 600421
mcs10_b03_s70_AB05 6584 1000.000000 1000.000000 443960
mcs10_b03_s70_AB06 462066 1000.000061 1000.000061 1000000
mcs10_b03_s70_AB07 14131 1000.000061 1000.000061 123079
mcs10_b03_s70_AB08 588520 1000.000000 1000.000000 807654
mcs10_b03_s70_AB09 10828 1000.000061 1000.000061 380562
mcs10_b03_s80_AB00 1000000 1000.000061 1000.000061 1000000
mcs10_b03_s80_AB01 1000000 1000.000061 1000.000061 1000000
mcs10_b03_s80_AB02 1000000 1000.000061 1000.000061 1000000
mcs10_b03_s80_AB03 1000000 1000.000061 1000.000061 1000000
mcs10_b03_s80_AB04 1000000 1000.000061 1000.000061 1000000
mcs10_b03_s80_AB05 1000000 1000.000061 1000.000061 1000000
mcs10_b03_s80_AB06 956392 1000.000061 1000.000061 1000000
mcs10_b03_s80_AB07 1000000 1000.000061 1000.000061 54104
mcs10_b03_s80_AB08 1000000 1000.000061 1000.000061 1000000
mcs10_b03_s80_AB09 1000000 1000.000061 1000.000061 1000000
mcs10_b03_s90_AB00 1000000 1000.000061 1000.000061 1000000
mcs10_b03_s90_AB01 1000000 1000.000061 1000.000061 1000000
mcs10_b03_s90_AB02 1000000 1000.000061 1000.000061 1000000
mcs10_b03_s90_AB03 1000000 1000.000061 1000.000061 1000000
mcs10_b03_s90_AB04 1000000 1000.000061 1000.000061 1000000
mcs10_b03_s90_AB05 1000000 1000.000061 1000.000061 1000000
