instance clique james-cpp-max james-cpp-max-down clique-par/t32 cp-branching-mac cp-branching-filtering-mac cp-filtering-mac
mcs10_b03_s100_AB00 750 1307 43913 1048 1320.000000 524.000000 924.000000
mcs10_b03_s100_AB01 761 1356 59200 1731 1357.000000 1291.000000 3465.000000
mcs10_b03_s100_AB02 786 1349 56340 1125 1342.000000 724.000000 1222.000000
mcs10_b03_s100_AB03 774 1399 52506 1075 1375.000000 821.000000 1191.000000
mcs10_b03_s100_AB04 792 1379 55626 1152 1372.000000 886.000000 1917.000000
mcs10_b03_s100_AB05 1069 1922 63563 1392 1921.000000 719.000000 3269.000000
mcs10_b03_s100_AB06 767 1323 48793 1075 1335.000000 615.000000 3467.000000
mcs10_b03_s100_AB07 768 1342 35456 1085 1345.000000 1145.000000 2017.000000
mcs10_b03_s100_AB08 806 1377 52445 1142 1343.000000 554.000000 672.000000
mcs10_b03_s100_AB09 810 1371 53266 1772 1357.000000 733.000000 1743.000000
mcs10_b03_s40_AB00 185 254 3622 383 239.000000 235.000000 383.000000
mcs10_b03_s40_AB01 193 258 3448 387 264.000000 240.000000 393.000000
mcs10_b03_s40_AB02 201 262 3490 404 283.000000 255.000000 464.000000
mcs10_b03_s40_AB03 197 255 3802 403 246.000000 234.000000 61807.000000
mcs10_b03_s40_AB04 191 268 3811 389 261.000000 225.000000 1301.000000
mcs10_b03_s40_AB05 213 289 3883 421 293.000000 267.000000 507.000000
mcs10_b03_s40_AB06 205 278 3507 429 278.000000 268.000000 528.000000
mcs10_b03_s40_AB07 206 262 3506 414 262.000000 246.000000 126963.000000
mcs10_b03_s40_AB08 194 256 3198 389 255.000000 233.000000 258.000000
mcs10_b03_s40_AB09 215 290 3520 427 280.000000 252.000000 479.000000
mcs10_b03_s50_AB00 315 431 6656 629 412.000000 366.000000 684.000000
mcs10_b03_s50_AB01 291 374 6396 588 354.000000 344.000000 408.000000
mcs10_b03_s50_AB02 340 444 8153 672 444.000000 412.000000 2143.000000
mcs10_b03_s50_AB03 317 425 7473 638 405.000000 392.000000 4818.000000
mcs10_b03_s50_AB04 317 414 8234 644 403.000000 379.000000 1245.000000
mcs10_b03_s50_AB05 287 374 6270 595 382.000000 354.000000 715.000000
mcs10_b03_s50_AB06 322 425 8278 640 414.000000 378.000000 2090.000000
mcs10_b03_s50_AB07 338 435 8384 671 421.000000 395.000000 4721.000000
mcs10_b03_s50_AB08 279 364 6364 567 350.000000 322.000000 386.000000
mcs10_b03_s50_AB09 340 463 8040 669 453.000000 399.000000 846.000000
mcs10_b03_s60_AB00 269 377 7299 522 377.000000 295.000000 2078086.000000
mcs10_b03_s60_AB01 244 336 7288 463 325.000000 262.000000 407.000000
mcs10_b03_s60_AB02 252 354 7652 485 354.000000 302.000000 574.000000
mcs10_b03_s60_AB03 264 364 6792 503 373.000000 295.000000 378.000000
mcs10_b03_s60_AB04 234 310 4577 444 296.000000 214.000000 293.000000
mcs10_b03_s60_AB05 268 361 7160 506 352.000000 298.000000 2074.000000
mcs10_b03_s60_AB06 244 350 5289 467 348.000000 242.000000 299.000000
mcs10_b03_s60_AB07 262 363 6602 510 363.000000 307.000000 475.000000
mcs10_b03_s60_AB08 247 335 6239 474 323.000000 273.000000 647.000000
mcs10_b03_s60_AB09 278 361 7329 533 351.000000 317.000000 719.000000
mcs10_b03_s70_AB00 310 434 11079 612 435.000000 397.000000 526.000000
mcs10_b03_s70_AB01 320 427 9692 628 418.000000 374.000000 526.000000
mcs10_b03_s70_AB02 312 431 9236 608 427.000000 373.000000 143984.000000
mcs10_b03_s70_AB03 312 422 9786 619 422.000000 384.000000 726.000000
mcs10_b03_s70_AB04 360 475 11177 701 473.000000 444.000000 2398.000000
