instance clique james-cpp-max james-cpp-max-down clique-par/t32 cp-branching-mac cp-branching-filtering-mac cp-filtering-mac
mcs10_b03_s100_AB00 49 0 24 49 0.008862 0.044937 0.054483
mcs10_b03_s100_AB01 57 1 37 57 0.010015 0.109912 0.242347
mcs10_b03_s100_AB02 62 1 34 64 0.009907 0.056026 0.070660
mcs10_b03_s100_AB03 50 1 31 51 0.009499 0.071719 0.083368
mcs10_b03_s100_AB04 68 1 32 67 0.010179 0.069382 0.093258
mcs10_b03_s100_AB05 58 1 38 57 0.013298 0.066308 0.162667
mcs10_b03_s100_AB06 53 1 28 55 0.009011 0.052921 0.154473
mcs10_b03_s100_AB07 56 1 17 56 0.009093 0.090636 0.133534
mcs10_b03_s100_AB08 61 1 32 59 0.009142 0.036084 0.040373
mcs10_b03_s100_AB09 57 1 32 56 0.010750 0.062252 0.092823
mcs10_b03_s40_AB00 12 0 1 16 0.002274 0.006618 0.006965
mcs10_b03_s40_AB01 12 0 1 15 0.001826 0.005381 0.006311
mcs10_b03_s40_AB02 13 0 1 17 0.001995 0.005455 0.007238
mcs10_b03_s40_AB03 13 0 1 16 0.002028 0.005902 0.148446
mcs10_b03_s40_AB04 12 0 1 15 0.002024 0.005071 0.011136
mcs10_b03_s40_AB05 13 0 1 17 0.002067 0.006160 0.007893
mcs10_b03_s40_AB06 13 0 1 18 0.002250 0.006039 0.008179
mcs10_b03_s40_AB07 12 0 1 17 0.002026 0.005554 0.767136
mcs10_b03_s40_AB08 11 0 1 16 0.001979 0.005280 0.005320
mcs10_b03_s40_AB09 13 0 1 17 0.001989 0.006539 0.006936
mcs10_b03_s50_AB00 35 0 2 36 0.004754 0.012381 0.014022
mcs10_b03_s50_AB01 31 0 2 34 0.003393 0.011562 0.012825
mcs10_b03_s50_AB02 39 0 3 43 0.004404 0.012547 0.025105
mcs10_b03_s50_AB03 36 0 3 40 0.004016 0.012322 0.022000
mcs10_b03_s50_AB04 37 0 3 40 0.003958 0.012604 0.022203
mcs10_b03_s50_AB05 33 0 2 37 0.003860 0.011629 0.013346
mcs10_b03_s50_AB06 37 0 3 38 0.003881 0.012182 0.018051
mcs10_b03_s50_AB07 39 0 3 41 0.004674 0.014277 0.023637
mcs10_b03_s50_AB08 30 0 2 33 0.003393 0.011121 0.010853
mcs10_b03_s50_AB09 38 0 3 40 0.004375 0.012540 0.016440
mcs10_b03_s60_AB00 24 0 3 29 0.003254 0.011006 34.601051
mcs10_b03_s60_AB01 18 0 3 21 0.002531 0.009421 0.010869
mcs10_b03_s60_AB02 21 0 3 25 0.003006 0.011470 0.014048
mcs10_b03_s60_AB03 21 0 2 25 0.002904 0.011117 0.011980
mcs10_b03_s60_AB04 16 0 2 22 0.002399 0.007800 0.008864
mcs10_b03_s60_AB05 23 0 3 28 0.003144 0.010682 0.021375
mcs10_b03_s60_AB06 19 0 2 24 0.002745 0.008552 0.008732
mcs10_b03_s60_AB07 24 0 2 26 0.003022 0.011090 0.012939
mcs10_b03_s60_AB08 19 0 3 23 0.002685 0.010011 0.015959
mcs10_b03_s60_AB09 25 0 3 26 0.003052 0.012116 0.018516
mcs10_b03_s70_AB00 38 0 5 41 0.004211 0.017790 0.019214
mcs10_b03_s70_AB01 40 0 4 45 0.004180 0.017551 0.020068
mcs10_b03_s70_AB02 39 0 4 42 0.004246 0.017955 0.328337
mcs10_b03_s70_AB03 40 0 4 41 0.004284 0.017735 0.021525
mcs10_b03_s70_AB04 51 0 5 55 0.005000 0.019975 0.045304
mcs10_b03_s70_AB05 37 0 4 39 0.004014 0.018482 0.022497
mcs10_b03_s70_AB06 46 0 5 47 0.004766 0.016446 0.021226
mcs10_b03_s70_AB07 34 0 3 35 0.003862 0.017891 0.020691
mcs10_b03_s70_AB08 56 0 5 56 0.005515 0.018390 0.044707
mcs10_b03_s70_AB09 37 0 5 41 0.004139 0.017127 0.018942
