instance clique cp-fc james-cpp-max
mcs10_b03_s40_AB00 74168 6666049.000000 1690222
mcs10_b03_s40_AB01 231583 23821282.000000 5239066
mcs10_b03_s40_AB02 77026 2243019.000000 384062
mcs10_b03_s40_AB03 1398664 2758648.000000 2772235
mcs10_b03_s40_AB04 4480103 4281542.000000 630363
mcs10_b03_s40_AB05 372449 17964799.000000 2902299
mcs10_b03_s40_AB06 57933 1717371.000000 13482727
mcs10_b03_s40_AB07 906804 340537.000000 799480
mcs10_b03_s40_AB08 143718 7921140.000000 2944782
mcs10_b03_s40_AB09 417116 5791426.000000 11411718
mcs10_b03m_s40_AB00 2804617 16404312.000000 2269908
mcs10_b03m_s40_AB01 116320 4048596.000000 1190440
mcs10_b03m_s40_AB02 3033385 29166457.000000 32966586
mcs10_b03m_s40_AB03 29708 18805941.000000 22609044
mcs10_b03m_s40_AB04 2228101 36054921.000000 13594598
mcs10_b03m_s40_AB05 339745 2439247.000000 2716016
mcs10_b03m_s40_AB06 2789750 36670819.000000 17943333
mcs10_b03m_s40_AB07 6849314 3751108.000000 2019583
mcs10_b03m_s40_AB08 521182 1324259.000000 2564099
mcs10_b03m_s40_AB09 16638102 47530444.000000 22479215
mcs10_m2D_s40_AB00 379749 2460802.000000 3420962
mcs10_m2D_s40_AB01 867522 6362024.000000 1824936
mcs10_m2D_s40_AB02 28350 1162589.000000 1117648
mcs10_m2D_s40_AB03 129058 2779176.000000 2545704
mcs10_m2D_s40_AB04 87662 26271142.000000 10213129
mcs10_m2D_s40_AB05 139816 1990695.000000 2425811
mcs10_m2D_s40_AB06 2328000 7262364.000000 1422985
mcs10_m2D_s40_AB07 29863 4448783.000000 1557329
mcs10_m2D_s40_AB08 71366 300886.000000 157192
mcs10_m2D_s40_AB09 7589 2923201.000000 2716281
mcs10_m2Dr4_s40_AB00 22866 356075.000000 210807
mcs10_m2Dr4_s40_AB01 201961 9325467.000000 5138476
mcs10_m2Dr4_s40_AB02 23013 3997360.000000 3154114
mcs10_m2Dr4_s40_AB03 414826 3298585.000000 2301506
mcs10_m2Dr4_s40_AB04 35362 1359126.000000 1169717
mcs10_m2Dr4_s40_AB05 131588 1669891.000000 306897
mcs10_m2Dr4_s40_AB06 80255 2935952.000000 2281099
mcs10_m2Dr4_s40_AB07 223150 2203109.000000 736414
mcs10_m2Dr4_s40_AB08 53320 1806098.000000 757619
mcs10_m2Dr4_s40_AB09 20325 349857.000000 355402
mcs10_m2Dr6_s40_AB00 182237 1302106.000000 347550
mcs10_m2Dr6_s40_AB01 74859 3339168.000000 690209
mcs10_m2Dr6_s40_AB02 38578 1658151.000000 393833
mcs10_m2Dr6_s40_AB03 19812 792810.000000 1120996
mcs10_m2Dr6_s40_AB04 104997 367058.000000 148992
mcs10_m2Dr6_s40_AB05 20963 3853804.000000 2076349
mcs10_m2Dr6_s40_AB06 46242 726469.000000 837054
mcs10_m2Dr6_s40_AB07 44627 4857309.000000 1160624
mcs10_m2Dr6_s40_AB08 11766 480490.000000 448132
mcs10_m2Dr6_s40_AB09 547305 6883789.000000 2653157
mcs10_r005_s20_AB00 21 3572.000000 1467
mcs10_r005_s20_AB01 2618 2720.000000 1312
mcs10_r005_s20_AB02 2077 29184.000000 10782
mcs10_r005_s20_AB03 69 2398.000000 1140
mcs10_r005_s20_AB04 1879 7190.000000 3424
mcs10_r005_s20_AB05 8635 8520.000000 2448
mcs10_r005_s20_AB06 7682 28721.000000 11142
mcs10_r005_s20_AB07 2208 2111.000000 447
mcs10_r005_s20_AB08 2161 2322.000000 230
mcs10_r005_s20_AB09 155 6492.000000 8591
mcs10_r005_s25_AB00 23782 161632.000000 52525
mcs10_r005_s25_AB01 8682 127079.000000 150233
mcs10_r005_s25_AB02 1786 94823.000000 81422
mcs10_r005_s25_AB03 23334 179441.000000 93780
mcs10_r005_s25_AB04 16285 20172.000000 8935
mcs10_r005_s25_AB05 298656 232320.000000 170683
mcs10_r005_s25_AB06 7642 14639.000000 257
mcs10_r005_s25_AB07 6232 123693.000000 78347
mcs10_r005_s25_AB08 5899 75537.000000 51280
mcs10_r005_s25_AB09 64737 27871.000000 63503
mcs10_r005_s30_AB00 15048 15464.000000 14846
mcs10_r005_s30_AB01 19410 40142.000000 53511
mcs10_r005_s30_AB02 1348 69532.000000 39078
mcs10_r005_s30_AB03 3013 28160.000000 28906
mcs10_r005_s30_AB04 273 19892.000000 21586
mcs10_r005_s30_AB05 2012 44770.000000 40425
mcs10_r005_s30_AB06 50 12212.000000 5387
mcs10_r005_s30_AB07 702 55465.000000 32848
mcs10_r005_s30_AB08 43 14118.000000 3646
mcs10_r005_s30_AB09 35291 286997.000000 9244
mcs10_r005_s35_AB00 2614 298177.000000 63757
mcs10_r005_s35_AB01 11432 42452.000000 42389
mcs10_r005_s35_AB02 12335 2410975.000000 1798921
mcs10_r005_s35_AB03 43243 348620.000000 60784
mcs10_r005_s35_AB04 82420 825189.000000 783172
mcs10_r005_s35_AB05 6283 201312.000000 822905
mcs10_r005_s35_AB06 34046 798704.000000 198096
mcs10_r005_s35_AB07 7321 618194.000000 193607
mcs10_r005_s35_AB08 161817 1934632.000000 1244699
mcs10_r005_s35_AB09 25346 1713985.000000 1716415
mcs10_r005_s40_AB00 15516 567640.000000 72637
mcs10_r005_s40_AB01 77875 725794.000000 276143
mcs10_r005_s40_AB02 27122 2631291.000000 333209
mcs10_r005_s40_AB03 145892 569206.000000 131713
mcs10_r005_s40_AB04 456216 4599063.000000 2634867
mcs10_r005_s40_AB05 6096 1047790.000000 454747
mcs10_r005_s40_AB06 15682 743180.000000 124300
mcs10_r005_s40_AB07 294146 10265228.000000 4176701
mcs10_r005_s40_AB08 2189264 4320467.000000 2138112
mcs10_r005_s40_AB09 71764 2827830.000000 1637124
mcs10_r01_s20_AB00 248 2921.000000 2272
mcs10_r01_s20_AB01 660 2901.000000 2495
mcs10_r01_s20_AB02 191 2403.000000 1485
mcs10_r01_s20_AB03 56 964.000000 295
mcs10_r01_s20_AB04 413 6046.000000 5751
mcs10_r01_s20_AB05 1172 3757.000000 2195
mcs10_r01_s20_AB06 171 2113.000000 2451
mcs10_r01_s20_AB07 98 3666.000000 4231
mcs10_r01_s20_AB08 45 2687.000000 1862
mcs10_r01_s20_AB09 599 4458.000000 3934
mcs10_r01_s25_AB00 1348 40242.000000 24636
mcs10_r01_s25_AB01 1374 12616.000000 13291
mcs10_r01_s25_AB02 811 5190.000000 5754
mcs10_r01_s25_AB03 197 5365.000000 383
