instance clique cp-fc james-cpp-max
mcs10_b03_s100_AB00 992929 1000.000061 1000000
mcs10_b03_s100_AB01 1000000 1000.000061 1000000
mcs10_b03_s100_AB02 1000000 1000.000061 1000000
mcs10_b03_s100_AB03 1000000 1000.000061 1000000
mcs10_b03_s100_AB04 1000000 1000.000061 1000000
mcs10_b03_s100_AB05 1000000 1000.000061 1000000
mcs10_b03_s100_AB06 1000000 1000.000122 1000000
mcs10_b03_s100_AB07 1000000 1000.000061 1000000
mcs10_b03_s100_AB08 1000000 1000.000061 1000000
mcs10_b03_s100_AB09 1000000 1000.000061 1000000
mcs10_b03_s40_AB00 45 18.856792 396
mcs10_b03_s40_AB01 138 53.109539 826
mcs10_b03_s40_AB02 41 7.191018 126
mcs10_b03_s40_AB03 775 8.612314 641
mcs10_b03_s40_AB04 1459 11.150722 225
mcs10_b03_s40_AB05 250 54.972897 629
mcs10_b03_s40_AB06 52 4.743101 2892
mcs10_b03_s40_AB07 425 1.337835 307
mcs10_b03_s40_AB08 98 21.752909 640
mcs10_b03_s40_AB09 204 16.617840 2202
mcs10_b03_s50_AB00 18200 1000.000000 17930
mcs10_b03_s50_AB01 1000000 1000.000000 270701
mcs10_b03_s50_AB02 1000000 1000.000000 1000000
mcs10_b03_s50_AB03 9817 1000.000000 33940
mcs10_b03_s50_AB04 434219 1000.000000 362463
mcs10_b03_s50_AB05 7045 1000.000000 8386
mcs10_b03_s50_AB06 1000000 1000.000000 121230
mcs10_b03_s50_AB07 1000000 1000.000000 375476
mcs10_b03_s50_AB08 1000000 1000.000000 318478
mcs10_b03_s50_AB09 501200 1000.000000 94263
mcs10_b03_s60_AB00 27416 1000.000061 39100
mcs10_b03_s60_AB01 307 774.536316 17782
mcs10_b03_s60_AB02 10330 1000.000000 47764
mcs10_b03_s60_AB03 1521 1000.000000 9686
mcs10_b03_s60_AB04 5727 1000.000000 22260
mcs10_b03_s60_AB05 267942 1000.000000 65471
mcs10_b03_s60_AB06 20425 1000.000000 67695
mcs10_b03_s60_AB07 39658 706.900208 43863
mcs10_b03_s60_AB08 6088 1000.000061 76148
mcs10_b03_s60_AB09 1000000 1000.000000 203415
mcs10_b03_s70_AB00 156296 1000.000000 1000000
mcs10_b03_s70_AB01 587996 1000.000000 1000000
mcs10_b03_s70_AB02 941375 1000.000000 1000000
mcs10_b03_s70_AB03 1000000 1000.000061 1000000
mcs10_b03_s70_AB04 1000000 1000.000061 1000000
mcs10_b03_s70_AB05 128059 1000.000000 1000000
mcs10_b03_s70_AB06 1000000 1000.000000 1000000
mcs10_b03_s70_AB07 1000000 1000.000000 1000000
mcs10_b03_s70_AB08 1000000 1000.000000 1000000
mcs10_b03_s70_AB09 30678 1000.000061 1000000
mcs10_b03_s80_AB00 1000000 1000.000000 1000000
