instance clique cp-fc cp-mac james-cpp-product james-cpp-product-down james-cpp-max james-cpp-max-down clique-par/t16 clique-par/t32
mcs10_b03_s100_AB00 1807554640 NaN NaN NaN NaN NaN NaN 595196175 599616801
mcs10_b03_s100_AB01 NaN NaN NaN NaN NaN NaN NaN NaN 16551024722
mcs10_b03_s100_AB02 NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03_s100_AB03 NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03_s100_AB04 NaN NaN NaN NaN NaN NaN NaN 2463578469 2220733248
mcs10_b03_s100_AB05 NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03_s100_AB06 NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03_s100_AB07 NaN NaN NaN NaN NaN NaN NaN 2840598688 3159399855
mcs10_b03_s100_AB08 NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03_s100_AB09 NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03_s40_AB00 82730 6605464.000000 3775994.000000 5026763 5306922 1605038 1868141 41577 38735
mcs10_b03_s40_AB01 24563335 41936407.000000 26635931.000000 41889978 46157515 57102538 58616778 248243 254862
mcs10_b03_s40_AB02 341760 8851994.000000 5761020.000000 1045983 1166289 1846670 2112755 118199 138114
mcs10_b03_s40_AB03 890656 2357042.000000 1288638.000000 2734908 3872188 2562141 3473640 897543 897841
mcs10_b03_s40_AB04 5683446 4171028.000000 1587668.000000 4136472 4937286 967224 1156651 2380618 2252217
mcs10_b03_s40_AB05 338259 16471002.000000 9937780.000000 4436069 5563991 2561189 3214349 367878 348525
mcs10_b03_s40_AB06 1794970 3409831.000000 1196315.000000 6128812 7652709 13810847 16926794 336617 787394
mcs10_b03_s40_AB07 545856 756538.000000 357402.000000 3649902 962068 664732 677322 788536 971914
mcs10_b03_s40_AB08 160479 6687126.000000 3562010.000000 5443270 6227262 4121447 4772957 135480 142997
mcs10_b03_s40_AB09 379784 5262716.000000 2476287.000000 5976909 7235242 10807224 9396478 337372 317534
mcs10_b03_s50_AB00 91997805 NaN NaN 548834836 590527510 156005218 204959656 54815462 55200529
mcs10_b03_s50_AB01 NaN NaN NaN NaN NaN 1263276545 1460940959 1465465790 1490744782
mcs10_b03_s50_AB02 NaN NaN NaN NaN NaN NaN NaN NaN 31823608190
mcs10_b03_s50_AB03 58705611 NaN NaN 1558473855 1806395335 1237606171 1369171555 71277967 94052479
mcs10_b03_s50_AB04 868326100 NaN NaN 2400064175 1589984097 2916056297 2363499954 2351474597 723857922
mcs10_b03_s50_AB05 893215 NaN NaN 418745932 390043625 43112671 44473974 438608 438232
mcs10_b03_s50_AB06 NaN NaN NaN 1780295173 1466262245 893554877 772452514 1535174269 1545768887
mcs10_b03_s50_AB07 NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b03_s50_AB08 1846591362 NaN NaN 830153220 896806633 1715121582 1918038205 1942574705 2338022680
mcs10_b03_s50_AB09 1514456281 NaN NaN NaN NaN 3594240424 3839885540 1102726526 1107645340
