instance clique cp-fc cp-mac james-cpp-product james-cpp-product-down james-cpp-max james-cpp-max-down clique-par/t16 clique-par/t32
mcs10_b03_s100_AB00 982650 1000.000000 1000.000061 1000000 1000000 1000000 1000000 46562 51094
mcs10_b03_s100_AB01 1000000 1000.000061 1000.000061 1000000 1000000 1000000 1000000 1000006 947605
mcs10_b03_s100_AB02 1000000 1000.000061 1000.000061 1000000 1000000 1000000 1000000 1000001 1000003
mcs10_b03_s100_AB03 1000000 1000.000061 1000.000061 1000000 1000000 1000000 1000000 1000001 1000013
mcs10_b03_s100_AB04 1000000 1000.000061 1000.000061 1000000 1000000 1000000 1000000 267909 180298
mcs10_b03_s100_AB05 1000001 1000.000061 1000.000000 1000000 1000000 1000000 1000000 1000001 1000002
mcs10_b03_s100_AB06 1000000 1000.000000 1000.000000 1000000 1000000 1000000 1000000 1000001 1000003
mcs10_b03_s100_AB07 1000000 1000.000061 1000.000061 1000000 1000000 1000000 1000000 282185 259683
mcs10_b03_s100_AB08 1000000 1000.000000 1000.000061 1000000 1000000 1000000 1000000 1000001 1000002
mcs10_b03_s100_AB09 1000000 1000.000061 1000.000061 1000000 1000000 1000001 1000000 1000001 1000011
mcs10_b03_s40_AB00 52 18.467049 12.627627 978 1131 360 455 17 17
mcs10_b03_s40_AB01 3911 85.213058 86.232002 6574 7505 6321 6484 24 30
mcs10_b03_s40_AB02 192 25.957922 20.555048 197 232 359 433 19 26
mcs10_b03_s40_AB03 573 7.284529 5.034571 598 893 581 854 57 59
mcs10_b03_s40_AB04 1761 10.619243 5.255928 701 868 185 229 72 62
mcs10_b03_s40_AB05 228 49.669933 37.834187 852 1138 542 741 30 33
mcs10_b03_s40_AB06 477 9.164856 5.220910 1219 1672 2977 3586 23 28
mcs10_b03_s40_AB07 303 2.193748 1.593048 602 187 150 166 44 39
mcs10_b03_s40_AB08 110 18.272032 12.508644 1122 1278 883 1032 19 26
mcs10_b03_s40_AB09 167 15.004232 9.120082 1036 1353 2028 1982 27 29
mcs10_b03_s50_AB00 71005 1000.000000 1000.000000 114511 131338 37850 51402 3209 2213
mcs10_b03_s50_AB01 1000000 1000.000000 1000.000000 1000000 1000000 248696 298511 59157 42341
