instance clique james-cpp-max james-cpp-max-down cp-branching-fc cp-branching-filtering-fc cp-filtering-fc clique-par/t32
mcs10_b03_s40_AB00 NaN 1136903369 607042689 NaN 13646131.000000 13645162.000000 NaN
mcs10_b03_s40_AB01 NaN NaN 1562490739 NaN 10065927.000000 10100128.000000 NaN
mcs10_b03_s40_AB02 NaN 866981559 232412572 NaN 23159717.000000 23160134.000000 NaN
mcs10_b03_s40_AB03 NaN 744838395 488819807 NaN 24000072.000000 24041258.000000 NaN
mcs10_b03_s40_AB04 NaN 1965674900 2107261942 NaN 15498645.000000 15497094.000000 NaN
mcs10_b03_s40_AB05 NaN 2637883176 1859779904 NaN 32807666.000000 32793669.000000 NaN
mcs10_b03_s40_AB06 NaN 5982689710 2778112997 NaN 35919781.000000 35919625.000000 NaN
mcs10_b03_s40_AB07 NaN 398634471 181400175 NaN 13867581.000000 13866505.000000 NaN
mcs10_b03_s40_AB08 NaN 864759898 341757042 NaN 17362457.000000 17360828.000000 NaN
mcs10_b03_s40_AB09 NaN 1565148843 1236851411 NaN 25916813.000000 25928292.000000 NaN
mcs10_b03_s50_AB00 NaN NaN NaN NaN NaN NaN NaN
mcs10_b03_s50_AB01 NaN NaN NaN NaN NaN NaN NaN
mcs10_b03_s50_AB02 NaN NaN NaN NaN NaN NaN NaN
mcs10_b03_s50_AB03 NaN NaN NaN NaN NaN NaN NaN
mcs10_b03_s50_AB04 NaN NaN NaN NaN NaN NaN NaN
mcs10_b03_s50_AB05 NaN NaN NaN NaN NaN NaN NaN
mcs10_b03_s50_AB06 NaN NaN NaN NaN NaN NaN NaN
mcs10_b03_s50_AB07 NaN NaN NaN NaN NaN NaN NaN
mcs10_b03_s50_AB08 NaN NaN NaN NaN NaN NaN NaN
mcs10_b03_s50_AB09 NaN NaN NaN NaN NaN NaN NaN
mcs10_b03m_s40_AB00 NaN 4078326599 804874820 NaN 19837361.000000 19850910.000000 NaN
mcs10_b03m_s40_AB01 NaN 786906176 574233469 NaN 14685896.000000 14724044.000000 NaN
mcs10_b03m_s40_AB02 NaN 1556505448 271882741 NaN 22041748.000000 22083005.000000 NaN
mcs10_b03m_s40_AB03 NaN 788158527 108330999 116695952.000000 14928134.000000 14928093.000000 NaN
mcs10_b03m_s40_AB04 NaN 4314005059 1283014268 NaN 16594398.000000 16602372.000000 NaN
mcs10_b03m_s40_AB05 NaN 1932532663 1738411673 NaN 58933249.000000 58922657.000000 NaN
mcs10_b03m_s40_AB06 NaN 1060198471 606672228 NaN 43435418.000000 43431294.000000 NaN
mcs10_b03m_s40_AB07 NaN 824297256 280559247 NaN 10090103.000000 10090021.000000 NaN
mcs10_b03m_s40_AB08 NaN 2584379366 2566952924 NaN 54767853.000000 54762688.000000 NaN
mcs10_b03m_s40_AB09 NaN NaN NaN NaN 23670915.000000 23719094.000000 NaN
mcs10_b03m_s50_AB00 NaN NaN NaN NaN NaN NaN NaN
mcs10_b03m_s50_AB01 NaN NaN NaN NaN NaN NaN NaN
mcs10_b03m_s50_AB02 NaN NaN NaN NaN NaN NaN NaN
mcs10_b03m_s50_AB03 NaN NaN NaN NaN NaN NaN NaN
mcs10_b03m_s50_AB04 NaN NaN NaN NaN NaN NaN NaN
mcs10_b03m_s50_AB05 NaN NaN NaN NaN NaN NaN NaN
mcs10_b03m_s50_AB06 NaN NaN NaN NaN NaN NaN NaN
mcs10_b03m_s50_AB07 NaN NaN NaN NaN NaN NaN NaN
mcs10_b03m_s50_AB08 NaN NaN NaN NaN NaN NaN NaN
mcs10_b03m_s50_AB09 NaN NaN NaN NaN NaN NaN NaN
mcs10_m2D_s40_AB00 NaN 1418271666 371309324 NaN 64489195.000000 64489995.000000 NaN
mcs10_m2D_s40_AB01 NaN 1427274496 1359904411 NaN NaN NaN NaN
mcs10_m2D_s40_AB02 NaN 1241706453 622579116 NaN NaN NaN NaN
mcs10_m2D_s40_AB03 NaN 2261716791 1629999871 NaN NaN NaN NaN
mcs10_m2D_s40_AB04 NaN 3702622529 1032895495 NaN NaN NaN NaN
mcs10_m2D_s40_AB05 NaN 1720321653 1817101027 NaN NaN NaN NaN
mcs10_m2D_s40_AB06 NaN 1712366902 2100345397 NaN NaN NaN NaN
mcs10_m2D_s40_AB07 NaN 3061219856 2558655277 NaN NaN NaN NaN
mcs10_m2D_s40_AB08 NaN NaN NaN NaN NaN NaN NaN
mcs10_m2D_s40_AB09 NaN 596321928 530704075 NaN NaN NaN NaN
mcs10_m2D_s50_AB00 NaN NaN NaN NaN NaN NaN NaN
mcs10_m2D_s50_AB01 NaN NaN NaN NaN NaN NaN NaN
mcs10_m2D_s50_AB02 NaN NaN NaN NaN NaN NaN NaN
mcs10_m2D_s50_AB03 NaN NaN NaN NaN NaN NaN NaN
mcs10_m2D_s50_AB04 NaN NaN NaN NaN NaN NaN NaN
mcs10_m2D_s50_AB05 NaN NaN NaN NaN NaN NaN NaN
