instance clique james-cpp-max james-cpp-max-down cp-branching-fc cp-branching-filtering-fc cp-filtering-fc clique-par/t32
mcs10_b03_s40_AB00 1000000 206212 125930 1000.000000 180.626175 170.391373 1000005
mcs10_b03_s40_AB01 1000000 1000000 288042 1000.000000 136.118820 126.891014 1000005
mcs10_b03_s40_AB02 1000000 140030 46278 1000.000061 330.481018 311.896149 1000004
mcs10_b03_s40_AB03 1000000 145279 102758 1000.000000 318.449707 303.359650 1000004
mcs10_b03_s40_AB04 1000000 335534 378107 1000.000000 222.867325 212.066879 1000005
mcs10_b03_s40_AB05 1000000 468104 362229 1000.000000 411.523102 387.960785 1000004
mcs10_b03_s40_AB06 1000000 984938 542294 1000.000122 472.963409 448.227051 1000005
mcs10_b03_s40_AB07 1000001 73540 38981 1000.000000 192.676102 183.101547 1000005
mcs10_b03_s40_AB08 1000000 155843 68549 1000.000000 249.893997 233.903625 1000004
mcs10_b03_s40_AB09 1000000 266845 226632 1000.000000 361.527893 341.835785 1000005
mcs10_b03_s50_AB00 1000000 1000000 1000000 1000.000061 1000.000061 1000.000061 1000005
mcs10_b03_s50_AB01 1000001 1000000 1000000 1000.000061 1000.000122 1000.000000 1000006
mcs10_b03_s50_AB02 1000000 1000000 1000000 1000.000061 1000.000061 1000.000000 1000006
mcs10_b03_s50_AB03 1000001 1000000 1000000 1000.000061 1000.000061 1000.000000 1000005
mcs10_b03_s50_AB04 1000000 1000000 1000000 1000.000061 1000.000061 1000.000000 1000005
mcs10_b03_s50_AB05 1000001 1000000 1000000 1000.000000 1000.000061 1000.000000 1000006
mcs10_b03_s50_AB06 1000000 1000000 1000000 1000.000061 1000.000061 1000.000000 1000006
mcs10_b03_s50_AB07 1000000 1000000 1000000 1000.000061 1000.000061 1000.000000 1000005
mcs10_b03_s50_AB08 1000001 1000000 1000000 1000.000000 1000.000061 1000.000000 1000006
mcs10_b03_s50_AB09 1000000 1000000 1000000 1000.000000 1000.000061 1000.000000 1000006
mcs10_b03m_s40_AB00 1000000 666563 160879 1000.000000 255.479141 240.723557 1000004
mcs10_b03m_s40_AB01 1000000 124221 101817 1000.000000 183.944595 173.210846 1000005
mcs10_b03m_s40_AB02 1000000 256313 54324 1000.000061 322.240814 307.102142 1000006
mcs10_b03m_s40_AB03 1000000 147270 23670 744.774475 207.622910 198.053818 1000004
mcs10_b03m_s40_AB04 1000000 715425 239782 1000.000000 210.005585 198.306839 1000005
mcs10_b03m_s40_AB05 1000000 329918 314131 1000.000000 818.908508 773.877808 1000004
mcs10_b03m_s40_AB06 1000000 207064 128408 1000.000000 549.134644 523.655151 1000005
mcs10_b03m_s40_AB07 1000000 144193 59642 1000.000061 137.552216 130.142212 1000004
mcs10_b03m_s40_AB08 1000000 423633 443621 1000.000061 806.328552 755.319763 1000005
mcs10_b03m_s40_AB09 1000000 1000000 1000000 1000.000000 278.112640 259.236359 1000006
mcs10_b03m_s50_AB00 1000000 1000000 1000000 1000.000061 1000.000061 1000.000000 1000005
mcs10_b03m_s50_AB01 1000000 1000000 1000000 1000.000061 1000.000061 1000.000000 1000006
mcs10_b03m_s50_AB02 1000001 1000000 1000000 1000.000061 1000.000061 1000.000000 1000006
mcs10_b03m_s50_AB03 1000001 1000000 1000000 1000.000061 1000.000061 1000.000000 1000005
mcs10_b03m_s50_AB04 1000001 1000000 1000000 1000.000000 1000.000061 1000.000000 1000005
mcs10_b03m_s50_AB05 1000001 1000000 1000000 1000.000000 1000.000061 1000.000000 1000006
mcs10_b03m_s50_AB06 1000000 1000000 1000000 1000.000061 1000.000061 1000.000000 1000005
mcs10_b03m_s50_AB07 1000001 1000000 1000000 1000.000000 1000.000061 1000.000000 1000006
mcs10_b03m_s50_AB08 1000001 1000000 1000000 1000.000061 1000.000061 1000.000000 1000007
mcs10_b03m_s50_AB09 1000000 1000000 1000000 1000.000061 1000.000061 1000.000000 1000006
mcs10_m2D_s40_AB00 1000000 294260 91436 1000.000061 862.635071 832.805115 1000005
mcs10_m2D_s40_AB01 1000000 298250 300566 1000.000000 1000.000061 1000.000000 1000005
mcs10_m2D_s40_AB02 1000000 285193 152747 1000.000000 1000.000000 1000.000000 1000005
mcs10_m2D_s40_AB03 1000000 456167 356290 1000.000000 1000.000000 1000.000000 1000004
mcs10_m2D_s40_AB04 1000000 691436 215122 1000.000000 1000.000061 1000.000000 1000004
mcs10_m2D_s40_AB05 1000000 374563 420454 1000.000000 1000.000061 1000.000000 1000004
mcs10_m2D_s40_AB06 1000000 369325 466034 1000.000061 1000.000000 1000.000000 1000004
mcs10_m2D_s40_AB07 1000000 609027 556735 1000.000061 1000.000000 1000.000000 1000004
mcs10_m2D_s40_AB08 1000000 1000000 1000000 1000.000000 1000.000000 1000.000000 1000005
mcs10_m2D_s40_AB09 1000000 132778 125339 1000.000061 1000.000000 1000.000000 1000004
mcs10_m2D_s50_AB00 1000001 1000000 1000000 1000.000061 1000.000061 1000.000000 1000006
mcs10_m2D_s50_AB01 1000000 1000000 1000000 1000.000061 1000.000061 1000.000000 1000006
mcs10_m2D_s50_AB02 1000000 1000000 1000000 1000.000061 1000.000061 1000.000000 1000005
mcs10_m2D_s50_AB03 1000000 1000000 1000000 1000.000000 1000.000061 1000.000000 1000006
mcs10_m2D_s50_AB04 1000001 1000000 1000000 1000.000061 1000.000061 1000.000000 1000006
mcs10_m2D_s50_AB05 1000000 1000000 1000000 1000.000061 1000.000000 1000.000000 1000006
mcs10_m2D_s50_AB06 1000000 1000000 1000000 1000.000061 1000.000061 1000.000061 1000005
mcs10_m2D_s50_AB07 1000000 1000000 1000000 1000.000061 1000.000061 1000.000000 1000005
mcs10_m2D_s50_AB08 1000000 1000000 1000000 1000.000061 1000.000061 1000.000000 1000006
mcs10_m2D_s50_AB09 1000000 1000000 1000000 1000.000000 1000.000061 1000.000000 1000006
mcs10_m2Dr4_s40_AB00 1000000 655618 272869 1000.000000 1000.000061 1000.000000 1000004
mcs10_m2Dr4_s40_AB01 1000000 414570 323383 1000.000000 1000.000000 1000.000000 1000005
mcs10_m2Dr4_s40_AB02 1000000 730810 458931 1000.000000 1000.000000 1000.000000 1000005
mcs10_m2Dr4_s40_AB03 1000000 363293 350718 1000.000000 1000.000000 1000.000000 1000004
mcs10_m2Dr4_s40_AB04 1000000 479649 429544 1000.000061 1000.000000 1000.000000 1000005
mcs10_m2Dr4_s40_AB05 1000000 490206 659075 1000.000000 1000.000000 1000.000000 1000004
mcs10_m2Dr4_s40_AB06 1000000 719602 693041 1000.000000 1000.000061 1000.000000 1000004
mcs10_m2Dr4_s40_AB07 1000000 495712 616930 1000.000000 1000.000000 1000.000000 1000004
mcs10_m2Dr4_s40_AB08 1000000 689912 217108 1000.000000 989.991699 928.088501 1000004
mcs10_m2Dr4_s40_AB09 1000001 376618 464422 1000.000000 1000.000061 1000.000000 1000005
mcs10_m2Dr4_s50_AB00 1000001 1000000 1000000 1000.000000 1000.000061 1000.000000 1000006
mcs10_m2Dr4_s50_AB01 1000001 1000000 1000000 1000.000000 1000.000061 1000.000000 1000006
mcs10_m2Dr4_s50_AB02 1000001 1000000 1000000 1000.000000 1000.000061 1000.000000 1000005
mcs10_m2Dr4_s50_AB03 1000000 1000000 1000000 1000.000061 1000.000000 1000.000000 1000006
mcs10_m2Dr4_s50_AB04 1000001 1000000 1000000 1000.000061 1000.000061 1000.000000 1000006
mcs10_m2Dr4_s50_AB05 1000000 1000000 1000000 1000.000061 1000.000061 1000.000000 1000006
mcs10_m2Dr4_s50_AB06 1000000 1000000 1000000 1000.000061 1000.000122 1000.000000 1000006
mcs10_m2Dr4_s50_AB07 1000000 1000000 1000000 1000.000000 1000.000000 1000.000000 1000006
mcs10_m2Dr4_s50_AB08 1000000 1000000 1000000 1000.000000 1000.000061 1000.000000 1000006
mcs10_m2Dr4_s50_AB09 1000000 1000000 1000000 1000.000061 1000.000061 1000.000000 1000005
mcs10_m2Dr6_s40_AB00 1000000 1000000 1000000 1000.000000 1000.000061 1000.000000 1000005
mcs10_m2Dr6_s40_AB01 1000000 1000000 1000000 1000.000061 1000.000000 1000.000000 1000004
mcs10_m2Dr6_s40_AB02 1000000 1000000 1000000 1000.000061 1000.000000 1000.000000 1000004
mcs10_m2Dr6_s40_AB03 1000000 641870 796377 1000.000000 1000.000000 1000.000000 1000004
mcs10_m2Dr6_s40_AB04 1000000 1000000 869988 1000.000061 1000.000061 1000.000000 1000004
mcs10_m2Dr6_s40_AB05 1000000 682621 937736 1000.000000 1000.000000 1000.000000 1000004
mcs10_m2Dr6_s40_AB06 1000000 471474 616284 1000.000000 1000.000000 1000.000000 1000005
mcs10_m2Dr6_s40_AB07 1000000 845951 818371 1000.000000 1000.000000 1000.000000 1000005
mcs10_m2Dr6_s40_AB08 1000000 1000000 1000000 1000.000061 1000.000000 1000.000000 1000004
mcs10_m2Dr6_s40_AB09 1000000 433777 565832 1000.000000 1000.000000 1000.000000 1000004
mcs10_m2Dr6_s50_AB00 1000000 1000000 1000000 1000.000061 1000.000061 1000.000000 1000006
mcs10_m2Dr6_s50_AB01 1000001 1000000 1000000 1000.000061 1000.000061 1000.000000 1000006
mcs10_m2Dr6_s50_AB02 1000001 1000000 1000000 1000.000061 1000.000061 1000.000000 1000006
mcs10_m2Dr6_s50_AB03 1000000 1000000 1000000 1000.000061 1000.000061 1000.000000 1000006
mcs10_m2Dr6_s50_AB04 1000001 1000000 1000000 1000.000061 1000.000061 1000.000000 1000006
mcs10_m2Dr6_s50_AB05 1000000 1000000 1000000 1000.000061 1000.000000 1000.000000 1000005
mcs10_m2Dr6_s50_AB06 1000001 1000000 1000000 1000.000061 1000.000000 1000.000000 1000006
mcs10_m2Dr6_s50_AB07 1000001 1000000 1000000 1000.000061 1000.000061 1000.000000 1000006
mcs10_m2Dr6_s50_AB08 1000000 1000000 1000000 1000.000061 1000.000061 1000.000000 1000005
mcs10_m2Dr6_s50_AB09 1000000 1000000 1000000 1000.000061 1000.000061 1000.000000 1000005
mcs10_r005_s20_AB00 180 8 7 0.195305 0.025362 0.021814 53
mcs10_r005_s20_AB01 476 22 24 0.348902 0.028823 0.027163 78
mcs10_r005_s20_AB02 266 8 11 0.084843 0.036393 0.031837 56
mcs10_r005_s20_AB03 353 14 16 0.087114 0.024800 0.023249 69
mcs10_r005_s20_AB04 160 1 2 0.063098 0.017170 0.015950 47
mcs10_r005_s20_AB05 255 14 21 0.304389 0.146313 0.124989 50
mcs10_r005_s20_AB06 250 4 5 0.111287 0.027463 0.028286 61
mcs10_r005_s20_AB07 585 82 84 0.640218 0.058446 0.055621 91
mcs10_r005_s20_AB08 161 9 46 0.109555 0.046883 0.043106 58
mcs10_r005_s20_AB09 135 7 8 0.105942 0.031008 0.029548 51
mcs10_r005_s25_AB00 13944 625 613 6.249468 1.108646 1.016224 1043
mcs10_r005_s25_AB01 8804 149 159 3.250927 0.574640 0.528602 495
mcs10_r005_s25_AB02 7413 123 13 1.575669 0.219987 0.206250 212
mcs10_r005_s25_AB03 9764 444 231 3.097900 0.464910 0.428258 569
mcs10_r005_s25_AB04 16054 144 108 1.928035 0.453691 0.418645 810
mcs10_r005_s25_AB05 17285 124 48 1.291206 0.263909 0.246868 1154
mcs10_r005_s25_AB06 13176 148 193 2.513704 0.674850 0.622224 620
mcs10_r005_s25_AB07 6208 37 44 1.258113 0.268457 0.253012 355
mcs10_r005_s25_AB08 12998 188 75 1.080676 0.271750 0.251454 736
mcs10_r005_s25_AB09 21084 346 475 8.087018 0.844980 0.779230 1249
mcs10_r005_s30_AB00 703038 5547 1436 108.585999 14.354940 12.569743 27204
mcs10_r005_s30_AB01 677460 1658 1794 35.052235 14.366063 13.321831 25489
mcs10_r005_s30_AB02 479086 3228 3113 58.724705 10.209876 9.480372 17472
mcs10_r005_s30_AB03 853309 2466 2999 89.793159 24.482555 22.784700 41775
mcs10_r005_s30_AB04 748809 1227 1348 28.773165 10.025868 9.365559 32576
mcs10_r005_s30_AB05 630615 1308 934 22.912958 8.012112 7.484966 25152
mcs10_r005_s30_AB06 588154 2201 2748 65.268890 7.158429 6.898106 26864
mcs10_r005_s30_AB07 794916 2594 3062 17.203848 6.481862 6.132822 26148
mcs10_r005_s30_AB08 372185 2133 468 24.089687 5.405440 5.144244 14616
mcs10_r005_s30_AB09 520694 3294 2358 44.753559 11.438233 10.808624 19176
mcs10_r005_s35_AB00 1000000 16046 13237 285.222473 143.477051 133.369156 706695
mcs10_r005_s35_AB01 1000000 13864 13077 558.606567 142.318878 133.039429 1000010
mcs10_r005_s35_AB02 1000000 21715 28103 616.134094 342.450989 317.136658 1000004
mcs10_r005_s35_AB03 1000000 17540 22452 421.432556 247.238541 232.520187 1000024
mcs10_r005_s35_AB04 1000000 49977 61272 1000.000061 271.417908 254.261581 1000010
mcs10_r005_s35_AB05 1000000 45487 54271 1000.000061 205.956451 192.602371 1000004
mcs10_r005_s35_AB06 1000000 40654 50810 1000.000000 356.434631 335.032349 1000004
mcs10_r005_s35_AB07 1000000 32509 40706 1000.000000 458.627594 426.916626 1000004
mcs10_r005_s35_AB08 1000000 47691 46095 888.510620 240.174698 218.210464 1000004
mcs10_r005_s35_AB09 1000000 31318 22821 914.637085 358.849091 338.144623 1000004
mcs10_r005_s40_AB00 1000000 538515 446554 1000.000061 1000.000000 1000.000000 1000005
mcs10_r005_s40_AB01 1000000 608599 750063 1000.000000 1000.000000 1000.000000 1000004
mcs10_r005_s40_AB02 1000000 699189 916003 1000.000061 1000.000000 1000.000000 1000005
mcs10_r005_s40_AB03 1000000 1000000 445774 1000.000000 1000.000000 1000.000000 1000004
mcs10_r005_s40_AB04 1000000 890434 1000000 1000.000061 1000.000000 1000.000000 1000004
mcs10_r005_s40_AB05 1000000 592663 746484 1000.000061 1000.000000 1000.000000 1000004
mcs10_r005_s40_AB06 1000000 400076 535140 1000.000000 1000.000061 1000.000000 1000005
mcs10_r005_s40_AB07 1000000 379250 489015 1000.000000 1000.000000 1000.000000 1000005
mcs10_r005_s40_AB08 1000000 275916 307043 1000.000000 1000.000000 1000.000000 1000004
mcs10_r005_s40_AB09 1000000 883537 898959 1000.000061 1000.000000 1000.000000 1000005
mcs10_r005_s50_AB00 1000000 1000000 1000000 1000.000061 1000.000061 1000.000000 1000005
mcs10_r005_s50_AB01 1000000 1000000 1000000 1000.000061 1000.000061 1000.000000 1000005
mcs10_r005_s50_AB02 1000000 1000000 1000000 1000.000000 1000.000000 1000.000000 1000006
mcs10_r005_s50_AB03 1000000 1000000 1000000 1000.000061 1000.000061 1000.000000 1000006
mcs10_r005_s50_AB04 1000000 1000000 1000000 1000.000000 1000.000000 1000.000000 1000005
mcs10_r005_s50_AB05 1000000 1000000 1000000 1000.000061 1000.000000 1000.000000 1000007
mcs10_r005_s50_AB06 1000000 1000000 1000000 1000.000061 1000.000061 1000.000000 1000005
mcs10_r005_s50_AB07 1000000 1000000 1000000 1000.000000 1000.000000 1000.000000 1000006
mcs10_r005_s50_AB08 1000000 1000000 1000000 1000.000000 1000.000061 1000.000000 1000006
mcs10_r005_s50_AB09 1000000 1000000 1000000 1000.000061 1000.000061 1000.000000 1000005
mcs10_r01_s20_AB00 907 43 78 0.269471 0.419327 0.384919 87
mcs10_r01_s20_AB01 1548 79 77 0.809283 0.589701 0.544654 109
mcs10_r01_s20_AB02 639 53 38 0.657349 0.637869 0.587032 79
mcs10_r01_s20_AB03 557 15 14 0.198762 0.280075 0.250243 69
mcs10_r01_s20_AB04 762 15 18 0.287248 0.327602 0.302320 81
mcs10_r01_s20_AB05 564 14 18 0.184793 0.149004 0.140019 66
mcs10_r01_s20_AB06 667 24 32 0.522032 0.605131 0.556238 71
mcs10_r01_s20_AB07 652 25 21 0.192487 0.193147 0.180794 80
