instance clique cp-fc cp-mac kdown james-cpp-product james-cpp-product-down james-cpp-max james-cpp-max-down clique-par/t16 clique-par/t32 james-cpp-max-par/t16 james-cpp-max-par/t32 kdown-par/t32
mcs10_b03_s40_AB00 NaN NaN NaN 31837174 122579749 139203404 117353948 133181561 NaN NaN 55072976 53863457 82161621
mcs10_b03_s40_AB01 NaN NaN NaN 25110361 35550414 37113547 33766439 35144040 NaN NaN 20678779 19223300 214796622
mcs10_b03_s40_AB02 NaN NaN NaN 25453221 400268911 342777667 388610191 328366826 NaN NaN 124420547 118672070 228754230
mcs10_b03_s40_AB03 NaN NaN NaN 25900535 97709925 112476271 92973411 106900073 NaN NaN 21844128 17393062 98238096
mcs10_b03_s40_AB04 NaN NaN NaN 22924657 57593017 64376081 52569623 59071582 NaN NaN 23847815 22238431 200726649
mcs10_b03_s40_AB05 NaN NaN NaN 24751009 63989563 62761854 60071495 58480479 NaN NaN 13967548 11672318 61456655
mcs10_b03_s40_AB06 NaN NaN NaN 34480536 91204372 85567379 81141150 79248413 NaN NaN 18244693 16299872 38419418
mcs10_b03_s40_AB07 NaN NaN NaN 26583178 907171708 998843582 859795038 954602320 NaN NaN 273604995 235493292 246837280
mcs10_b03_s40_AB08 NaN NaN NaN 34098617 90670160 95794326 87092379 91961006 NaN NaN 54886792 52174933 55648825
mcs10_b03_s40_AB09 NaN NaN NaN 26687740 89783818 98369752 85920394 94051038 NaN NaN 23011463 21447095 219678961
mcs10_b03_s50_AB00 NaN NaN NaN 19842108 NaN NaN NaN NaN NaN NaN 2917190121 2842771802 165980641
mcs10_b03_s50_AB01 NaN NaN NaN 17747161 1732220541 1886746651 1594972764 1739793699 NaN NaN 350171492 299950484 159560489
mcs10_b03_s50_AB02 NaN NaN NaN 24043142 NaN NaN NaN NaN NaN NaN 750479918 587613643 199012209
mcs10_b03_s50_AB03 NaN NaN NaN 24281465 2662683397 2392581954 2497210352 2203350913 NaN NaN 639088914 530359750 190963967
mcs10_b03_s50_AB04 NaN NaN NaN 20701841 3171912915 3495881757 3042109268 3313796143 NaN NaN 945931470 896465168 204110193
mcs10_b03_s50_AB05 NaN NaN NaN 16936944 2848058004 3143540871 2626986971 2893341593 NaN NaN 772808167 699093799 211803915
mcs10_b03_s50_AB06 NaN NaN NaN 18211822 NaN NaN NaN NaN NaN NaN NaN NaN 139507771
mcs10_b03_s50_AB07 NaN NaN NaN 16586594 NaN NaN NaN NaN NaN NaN 2564643165 2539517904 142780298
mcs10_b03_s50_AB08 NaN NaN NaN 16964906 2861887456 3150994520 2725361801 3008896701 NaN NaN 700004777 630867967 139821392
mcs10_b03_s50_AB09 NaN NaN NaN 17772813 NaN NaN NaN NaN NaN NaN 1100527530 956491788 143872469
mcs10_b03m_s40_AB00 NaN NaN NaN 25706077 50126628 40331624 47935699 37860048 NaN NaN 9548385 7520971 353748082
mcs10_b03m_s40_AB01 NaN NaN NaN 18600046 323142769 345168040 316870235 338839449 NaN NaN 79026158 70620762 180310831
mcs10_b03m_s40_AB02 NaN NaN NaN 22702809 26882030 22472336 25416408 21073597 NaN NaN 4917525 4259532 167126979
mcs10_b03m_s40_AB03 NaN NaN NaN 29312367 168534635 181881866 161388405 173487805 NaN NaN 38938714 37495397 74001757
mcs10_b03m_s40_AB04 NaN NaN NaN 23118202 47366891 35986165 44584765 34231419 NaN NaN 13784540 13524120 198041801
mcs10_b03m_s40_AB05 NaN NaN NaN 23706040 251646944 283678500 239721842 269888251 NaN NaN 61336115 54637511 258336830
mcs10_b03m_s40_AB06 NaN NaN NaN 31928573 80901478 92133851 76001750 86407902 NaN NaN 21600234 20639122 47436815
mcs10_b03m_s40_AB07 NaN NaN NaN 32694509 106494300 117255418 101757378 111898188 NaN NaN 38918292 31151118 50255022
mcs10_b03m_s40_AB08 NaN NaN NaN 29907725 157514908 146091720 152478836 139879887 NaN NaN 71021739 64422452 160743481
mcs10_b03m_s40_AB09 NaN NaN NaN 3987874 48687616 30001253 45096099 28076208 NaN NaN 9111340 7581931 10531095
mcs10_b03m_s50_AB00 NaN NaN NaN 16333133 2143415633 1755555843 2048648432 1684745161 NaN NaN 342888902 288751316 138324683
mcs10_b03m_s50_AB01 NaN NaN NaN 12288480 NaN NaN NaN NaN NaN NaN NaN NaN 180143413
mcs10_b03m_s50_AB02 NaN NaN NaN 25508022 NaN NaN NaN NaN NaN NaN 2692830771 2563137807 127738148
mcs10_b03m_s50_AB03 NaN NaN NaN 22456278 NaN NaN NaN NaN NaN NaN NaN NaN 148825381
mcs10_b03m_s50_AB04 NaN NaN NaN 16220005 NaN NaN NaN NaN NaN NaN 1437840772 1172925764 148153346
mcs10_b03m_s50_AB05 NaN NaN NaN 15436694 NaN NaN NaN NaN NaN NaN 2066504911 1890065277 129183229
mcs10_b03m_s50_AB06 NaN NaN NaN 17380096 2012427160 1969825602 1904089503 1855234373 NaN NaN 400934387 239627447 202124444
mcs10_b03m_s50_AB07 NaN NaN NaN 17194067 362105906 315900066 352350263 294246613 NaN NaN 130469562 119915521 147637622
mcs10_b03m_s50_AB08 NaN NaN NaN 18267485 NaN NaN NaN NaN NaN NaN 1990234170 1831979623 161991185
mcs10_b03m_s50_AB09 NaN NaN NaN 18341867 NaN NaN NaN NaN NaN NaN 3090296610 3028722920 211296255
mcs10_m2D_s40_AB00 NaN NaN NaN 36307295 163383401 195230408 149689922 178526318 NaN NaN 43950251 41374156 128554627
mcs10_m2D_s40_AB01 NaN NaN NaN 23668695 160425791 184943401 146821605 168877793 NaN NaN 51176338 49398300 171115876
mcs10_m2D_s40_AB02 NaN NaN NaN 35333351 205409342 229189729 190539842 212169688 NaN NaN 41780710 38008140 202679030
mcs10_m2D_s40_AB03 NaN NaN NaN 35822544 174069113 192370575 162897456 179300885 NaN NaN 70447382 64011910 133084135
mcs10_m2D_s40_AB04 NaN NaN NaN 26105293 80777139 95074700 75529981 88700531 NaN NaN 30420225 22988658 254636394
mcs10_m2D_s40_AB05 NaN NaN NaN 29415744 281615370 293953533 254993240 264779079 NaN NaN 44674057 26042325 242166177
mcs10_m2D_s40_AB06 NaN NaN NaN 35095321 282782453 164724964 265457515 153274462 NaN NaN 57957337 54267876 89379888
mcs10_m2D_s40_AB07 NaN NaN NaN 31320362 187300007 223098833 177008440 209688431 NaN NaN 45649456 44453075 210206061
mcs10_m2D_s40_AB08 NaN NaN NaN 34887468 93347540 109357527 85003812 99245192 NaN NaN 38038582 33970109 106659929
mcs10_m2D_s40_AB09 NaN NaN NaN 34919332 312969138 363362664 284741811 329803767 NaN NaN 97131334 84159861 171313038
mcs10_m2D_s50_AB00 NaN NaN NaN 17129399 NaN NaN NaN NaN NaN NaN NaN NaN 155240883
mcs10_m2D_s50_AB01 NaN NaN NaN 24824424 NaN NaN NaN NaN NaN NaN NaN 2671431233 173941558
mcs10_m2D_s50_AB02 NaN NaN NaN 25316681 NaN NaN NaN NaN NaN NaN NaN NaN 115494075
mcs10_m2D_s50_AB03 NaN NaN NaN 17974953 NaN NaN NaN NaN NaN NaN 1353453845 1129250115 192737666
mcs10_m2D_s50_AB04 NaN NaN NaN 17380751 NaN NaN NaN NaN NaN NaN 2170436095 1790968779 144986704
mcs10_m2D_s50_AB05 NaN NaN NaN 16882823 NaN NaN NaN NaN NaN NaN NaN 1769500725 165315553
mcs10_m2D_s50_AB06 NaN NaN NaN 17886311 NaN NaN NaN NaN NaN NaN 1055669362 928806245 176244387
mcs10_m2D_s50_AB07 NaN NaN NaN 19278019 NaN NaN NaN NaN NaN NaN 2567154727 2075052974 157472031
mcs10_m2D_s50_AB08 NaN NaN NaN 20727793 NaN NaN NaN NaN NaN NaN 1900605342 1868199045 180555721
mcs10_m2D_s50_AB09 NaN NaN NaN 23745214 NaN NaN NaN NaN NaN NaN NaN NaN 137390216
