instance clique cp-fc cp-mac kdown james-cpp-product james-cpp-product-down james-cpp-max james-cpp-max-down clique-par/t16 clique-par/t32 james-cpp-max-par/t16 james-cpp-max-par/t32 kdown-par/t32
mcs10_b03_s40_AB00 1000000 1000.000000 1000.001099 1000000 29617 34322 29414 33889 1000003 1000005 16098 14597 1000002
mcs10_b03_s40_AB01 1000000 1000.000000 1000.000061 1000000 8776 9271 8529 8864 1000003 1000004 4673 4432 1000010
mcs10_b03_s40_AB02 1000001 1000.000000 1000.000305 1000000 95678 86473 92733 82850 1000003 1000005 32033 30970 1000012
mcs10_b03_s40_AB03 1000000 1000.000000 1000.000732 1000000 24731 28794 24580 28278 1000003 1000005 8296 6372 454681
mcs10_b03_s40_AB04 1000000 1000.000000 1000.000000 1000000 14402 16151 13383 15355 1000004 1000004 6908 6195 1000010
mcs10_b03_s40_AB05 1000001 1000.000000 1000.000183 1000000 16308 16287 15638 15475 1000003 1000005 4951 4037 303292
mcs10_b03_s40_AB06 1000000 1000.000061 1000.000122 1000000 21579 21802 20259 20945 1000003 1000005 5492 5509 280954
mcs10_b03_s40_AB07 1000000 1000.000000 1000.000061 1000000 222502 247525 216025 240155 1000003 1000004 99706 78264 1000006
mcs10_b03_s40_AB08 1000000 1000.000000 1000.000305 1000000 21602 23279 21195 22711 1000004 1000004 12630 12938 819477
mcs10_b03_s40_AB09 1000000 1000.000000 1000.000427 1000000 22562 25872 22297 26386 1000003 1000005 8701 7079 1000008
mcs10_b03_s50_AB00 1000001 1000.000061 1000.000732 1000000 1000000 1000000 1000000 1000000 1000004 1000006 844180 781710 1000009
mcs10_b03_s50_AB01 1000001 1000.000061 1000.000183 1000000 457119 512345 431803 482492 1000005 1000006 164800 128034 1000022
mcs10_b03_s50_AB02 1000001 1000.000061 1000.000122 1000000 1000000 1000001 1000000 1000000 1000005 1000006 325078 225561 1000012
mcs10_b03_s50_AB03 1000001 1000.000061 1000.000793 1000000 700483 641845 670007 608010 1000004 1000006 274087 184233 1000006
mcs10_b03_s50_AB04 1000001 1000.000000 1000.000366 1000000 879156 965798 846408 927468 1000004 1000006 444348 377048 1000005
mcs10_b03_s50_AB05 1000002 1000.000061 1000.000061 1000000 741342 818372 694408 778334 1000005 1000006 299122 228203 1000008
mcs10_b03_s50_AB06 1000001 1000.000061 1000.000183 1000000 1000000 1000000 1000000 1000000 1000005 1000006 1000001 1000002 1000017
mcs10_b03_s50_AB07 1000001 1000.000061 1000.000061 1000000 1000000 1000000 1000000 1000000 1000004 1000006 700841 668955 1000015
mcs10_b03_s50_AB08 1000001 1000.000000 1000.000793 1000001 781043 872394 759798 841047 1000004 1000006 283880 220455 1000013
mcs10_b03_s50_AB09 1000001 1000.000000 1000.000244 1000000 1000000 1000000 1000000 1000000 1000005 1000006 399856 305628 1000016
mcs10_b03m_s40_AB00 1000000 1000.000000 1000.000854 1000000 12348 10296 11812 9987 1000003 1000004 3169 2577 1000003
mcs10_b03m_s40_AB01 1000000 1000.000000 1000.000366 1000000 78815 84830 77519 84214 1000004 1000005 24304 19770 1000005
mcs10_b03m_s40_AB02 1000000 1000.000000 1000.000122 1000000 6842 5898 6627 5755 1000004 1000005 1810 1499 1000012
mcs10_b03m_s40_AB03 1000000 1000.000000 1000.000244 1000000 41207 45284 40269 43988 1000003 1000005 13044 11550 470493
mcs10_b03m_s40_AB04 1000000 1000.000000 1000.000061 1000000 11538 9156 11069 8942 1000003 1000005 5167 4930 1000011
mcs10_b03m_s40_AB05 1000000 1000.000000 1000.000732 1000000 61479 70227 60410 69670 1000004 1000004 24264 20220 1000004
mcs10_b03m_s40_AB06 1000000 1000.000000 1000.001099 1000000 20815 22975 19352 22303 1000003 1000005 6574 6038 361135
mcs10_b03m_s40_AB07 1000000 1000.000000 1000.001770 1000000 26711 30404 26050 29345 1000003 1000006 13705 10167 403998
mcs10_b03m_s40_AB08 1000000 1000.000000 1000.000610 1000000 37110 36352 36424 35154 1000003 1000005 19921 18788 1000008
mcs10_b03m_s40_AB09 1000000 1000.000000 1000.000244 136350 12129 7402 11145 6945 1000003 1000004 3517 2775 68381
mcs10_b03m_s50_AB00 1000001 1000.000061 1000.000305 1000000 561387 480058 542950 468101 1000005 1000006 151188 114898 1000017
mcs10_b03m_s50_AB01 1000001 1000.000000 1000.000000 1000000 1000000 1000000 1000000 1000000 1000004 1000006 1000001 1000002 1000011
