instance family
F.04 1 1000033
C.18 1 1000021
A.04 1 1000016
C.02 1 1000014
E.01 1 1000039
F.20 1 1000033
B.20 1 1000011
C.08 1 1000045
B.11 1 1000011
C.10 1 1000016
B.06 1 1000007
F.08 1 34
B.07 1 1000003
E.04 1 1000024
C.01 1 1000048
B.10 1 1000007
A.15 1 1000004
C.19 1 1000019
B.02 1 1000004
E.06 1 1000032
E.18 1 1000012
C.20 1 1000010
F.02 1 33
F.11 1 1000042
F.12 1 35
E.05 1 1000002
B.16 1 1000004
A.08 1 1000007
C.14 1 1000057
F.16 1 33
F.06 1 33
A.03 1 1000010
E.19 1 1000012
C.15 1 1000043
A.16 1 1000007
B.14 1 1000005
A.02 1 1000014
F.14 1 1000011
F.05 1 34
B.09 1 1000006
A.01 1 1000003
C.05 1 1000023
B.01 1 1000004
A.09 1 1000016
A.07 1 1000014
F.03 1 34
E.12 1 1000016
C.06 1 1000014
C.09 1 1000017
B.17 1 1000006
C.07 1 1000009
E.09 1 1000023
E.17 1 1000006
C.11 1 1000011
F.10 1 1000010
A.17 1 1000014
B.15 1 1000012
E.03 1 1000033
F.19 1 37
A.12 1 1000008
B.08 1 1000008
F.17 1 1000024
C.04 1 1000008
B.19 1 1000036
C.16 1 1000014
C.17 1 1000017
E.08 1 1000029
F.13 1 35
A.20 1 1000023
E.02 1 1000016
E.16 1 1000031
B.12 1 1000003
F.09 1 34
A.10 1 1000008
F.18 1 1000003
E.10 1 37
A.06 1 1000012
E.15 1 1000032
E.07 1 1000008
E.11 1 1000002
B.03 1 1000019
B.18 1 1000009
C.03 1 1000009
A.18 1 1000013
F.15 1 35
A.19 1 1000013
C.12 1 1000010
B.05 1 1000011
A.13 1 1000023
A.05 1 1000019
F.01 1 34
E.20 1 1000016
B.13 1 1000009
A.14 1 1000024
B.04 1 1000007
C.13 1 1000015
F.07 1 1000030
E.13 1 1000020
E.14 1 1000017
A.11 1 1000016
si6_r005_m400.07 7 1000014
si6_r005_m400.00 7 1000023
si6_r005_m400.01 7 1000030
si6_r005_m400.02 7 1000026
si6_r005_m400.04 7 1000029
si6_r005_m400.05 7 1000010
si6_r005_m400.09 7 1000026
si6_r005_m400.03 7 1000024
si6_r005_m400.06 7 1000033
si6_r005_m400.08 7 1000030
si6_m4Dr6_m625.04 6 1000036
si6_m4Dr6_m625.01 6 55
si6_m4Dr6_m625.09 6 1000017
si6_m4Dr6_m625.07 6 49
si6_m4Dr6_m625.00 6 1000070
si6_m4Dr6_m625.08 6 1000009
si6_m4Dr6_m625.05 6 1000017
si6_m4Dr6_m625.06 6 1000022
si6_m4Dr6_m625.02 6 1000014
si6_m4Dr6_m625.03 6 1000016
si4_m4Dr2_m625.09 6 1000006
si4_m4Dr2_m625.04 6 1000031
si4_m4Dr2_m625.02 6 1000032
si4_m4Dr2_m625.07 6 1000020
si4_m4Dr2_m625.00 6 1000041
si4_m4Dr2_m625.08 6 1000028
si4_m4Dr2_m625.01 6 1000034
si4_m4Dr2_m625.06 6 1000037
si4_m4Dr2_m625.03 6 1000033
si4_m4Dr2_m625.05 6 1000008
si2_r001_m600.00 7 1000004
si2_r001_m600.06 7 1000010
si2_r001_m600.04 7 1000020
si2_r001_m600.07 7 1000010
si2_r001_m600.02 7 1000039
si2_r001_m600.08 7 1000020
si2_r001_m600.03 7 1000024
si2_r001_m600.01 7 1000006
si2_r001_m600.05 7 1000023
si2_r001_m600.09 7 1000013
si2_m4Dr2_m256.09 6 7927
si2_m4Dr2_m256.03 6 541
si2_m4Dr2_m256.04 6 6585
si2_m4Dr2_m256.07 6 31051
si2_m4Dr2_m256.00 6 658
si2_m4Dr2_m256.06 6 1000030
si2_m4Dr2_m256.08 6 811
si2_m4Dr2_m256.05 6 34506
si2_m4Dr2_m256.01 6 1000028
si2_m4Dr2_m256.02 6 1000013
si6_r001_m600.09 7 1000008
si6_r001_m600.00 7 1000031
si6_r001_m600.07 7 1000004
si6_r001_m600.03 7 1000004
si6_r001_m600.01 7 1000009
si6_r001_m600.06 7 1000008
si6_r001_m600.08 7 1000011
si6_r001_m600.02 7 1000029
si6_r001_m600.04 7 1000023
si6_r001_m600.05 7 1000010
si2_m4Dr2_m1296.05 6 1000052
si2_m4Dr2_m1296.09 6 1000031
si2_m4Dr2_m1296.02 6 1000034
si2_m4Dr2_m1296.07 6 1000063
si2_m4Dr2_m1296.00 6 1000029
si2_m4Dr2_m1296.06 6 1000054
si2_m4Dr2_m1296.08 6 1000019
si2_m4Dr2_m1296.01 6 1000053
si2_m4Dr2_m1296.03 6 1000021
si2_m4Dr2_m1296.04 6 1000033
si4_b06m_m800.08 4 1000055
si4_b06m_m800.00 4 1000048
si4_b06m_m800.06 4 1000080
si4_b06m_m800.05 4 1000022
si4_b06m_m800.04 4 1000078
si4_b06m_m800.09 4 46
si4_b06m_m800.01 4 1000014
si4_b06m_m800.07 4 1000009
si4_b06m_m800.03 4 97
si4_b06m_m800.02 4 1000026
si6_m4Dr2_m625.08 6 1000027
si6_m4Dr2_m625.09 6 1000005
si6_m4Dr2_m625.05 6 1000012
si6_m4Dr2_m625.01 6 1000039
si6_m4Dr2_m625.06 6 1000010
si6_m4Dr2_m625.00 6 1000004
si6_m4Dr2_m625.03 6 1000018
si6_m4Dr2_m625.02 6 1000016
si6_m4Dr2_m625.07 6 1000021
si6_m4Dr2_m625.04 6 1000020
si2_m4D_m1296.01 5 1000019
si2_m4D_m1296.08 5 1000047
si2_m4D_m1296.06 5 1000035
si2_m4D_m1296.05 5 1000069
si2_m4D_m1296.09 5 1000031
si2_m4D_m1296.03 5 1000148
si2_m4D_m1296.07 5 1000040
si2_m4D_m1296.02 5 1000061
si2_m4D_m1296.04 5 1000052
si2_m4D_m1296.00 5 1000055
si4_b03_m800.05 3 42
si4_b03_m800.00 3 55
si4_b03_m800.08 3 42
si4_b03_m800.09 3 50
si4_b03_m800.03 3 44
si4_b03_m800.02 3 41
si4_b03_m800.04 3 41
si4_b03_m800.01 3 41
si4_b03_m800.06 3 41
si4_b03_m800.07 3 41
si6_m4D_m1296.02 5 1000037
si6_m4D_m1296.07 5 1000024
si6_m4D_m1296.05 5 1000040
si6_m4D_m1296.09 5 1000041
si6_m4D_m1296.00 5 1000071
si6_m4D_m1296.08 5 1000045
si6_m4D_m1296.04 5 1000035
si6_m4D_m1296.06 5 1000027
si6_m4D_m1296.01 5 1000032
si6_m4D_m1296.03 5 1000034
si6_r001_m200.05 7 1000017
si6_r001_m200.09 7 1000004
si6_r001_m200.07 7 1000006
si6_r001_m200.02 7 1000012
si6_r001_m200.01 7 1000002
si6_r001_m200.00 7 1000014
si6_r001_m200.04 7 1000021
si6_r001_m200.06 7 1000018
si6_r001_m200.08 7 1000011
si6_r001_m200.03 7 1000012
si4_b06_m400.06 3 20
si4_b06_m400.07 3 20
si4_b06_m400.09 3 19
si4_b06_m400.01 3 19
si4_b06_m400.04 3 19
si4_b06_m400.03 3 19
si4_b06_m400.00 3 20
si4_b06_m400.05 3 20
si4_b06_m400.08 3 20
si4_b06_m400.02 3 19
si2_m4Dr6_m256.06 6 3883
