instance clique cp-fc kdown james-cpp-max james-cpp-max-down kdown-par/t32
F.04 NaN NaN 1 NaN 855 1
C.18 NaN NaN 1 NaN 36682 1
A.04 NaN NaN 1 NaN 582 1
C.02 NaN NaN 2 NaN 80544 2
E.01 NaN NaN NaN NaN NaN NaN
F.20 NaN NaN 1 NaN 899 1
B.20 NaN NaN 2 NaN 38051 2
C.08 NaN NaN 2 NaN 16344244 2
B.11 NaN NaN 1 NaN 2549 1
C.10 NaN NaN 2 NaN 1214947 2
B.06 NaN NaN 1 NaN 7474 1
F.08 NaN NaN 3 878 878 3
B.07 NaN NaN 2 NaN 22185 2
E.04 NaN NaN NaN NaN NaN NaN
C.01 NaN NaN 1 NaN 452572 1
B.10 NaN NaN 2 NaN 5565 2
A.15 NaN NaN 1 NaN 980 1
C.19 NaN NaN 1 NaN 244576 1
B.02 NaN NaN 1 NaN 25088 1
E.06 NaN NaN NaN NaN NaN NaN
E.18 NaN NaN NaN NaN NaN NaN
C.20 NaN NaN 1 NaN 85067 1
F.02 NaN NaN 1 848 848 1
F.11 NaN NaN 1 NaN 890 1
F.12 NaN NaN 1 916 916 1
E.05 NaN NaN NaN NaN NaN NaN
B.16 NaN NaN 1 NaN 2000 1
A.08 NaN NaN 1 NaN 1729 1
C.14 NaN NaN 1 NaN 8417 1
F.16 NaN NaN 1 907 907 1
F.06 NaN NaN 1 881 881 1
A.03 NaN NaN 1 NaN 1927 1
E.19 NaN NaN NaN NaN NaN NaN
C.15 NaN NaN 1 NaN 1360514 1
A.16 NaN NaN 1 NaN 1177 1
B.14 NaN NaN 2 NaN 504295 2
A.02 NaN NaN 1 NaN 1318 1
F.14 NaN NaN 1 NaN 891 1
F.05 NaN NaN 1 895 895 1
B.09 NaN NaN 1 NaN 6984 1
A.01 NaN NaN 1 NaN 1260 1
C.05 NaN NaN 1 NaN 15994 1
B.01 NaN NaN 1 NaN 180133 1
A.09 NaN NaN 1 NaN 1094 1
A.07 NaN NaN 1 NaN 1825 1
F.03 NaN NaN 1 852 852 1
E.12 NaN NaN NaN NaN NaN NaN
C.06 NaN NaN 1 NaN 58631 1
C.09 NaN NaN 1 NaN 10627 1
B.17 NaN NaN 1 NaN 45815 1
C.07 NaN NaN 1 NaN 32640 1
E.09 NaN NaN NaN NaN NaN NaN
E.17 NaN NaN NaN NaN NaN NaN
C.11 NaN NaN 1 NaN 6636193 1
F.10 NaN NaN NaN NaN NaN NaN
A.17 NaN NaN 1 NaN 678 1
B.15 NaN NaN 1 NaN 6482 1
E.03 NaN NaN NaN NaN NaN NaN
F.19 NaN NaN 1 902 902 1
A.12 NaN NaN 1 NaN 900 1
B.08 NaN NaN 1 NaN 84918 1
F.17 NaN NaN 1 NaN 854 1
C.04 NaN NaN 2 NaN 376686387 2
B.19 NaN NaN 1 NaN 30063 1
C.16 NaN NaN 1 NaN 3143990 1
C.17 NaN NaN 2 NaN 1941467 2
E.08 NaN NaN NaN NaN NaN NaN
F.13 NaN NaN 2 921 921 2
A.20 NaN NaN 1 NaN 1339 1
E.02 NaN NaN NaN NaN NaN NaN
E.16 NaN NaN NaN NaN NaN NaN
B.12 NaN NaN 1 NaN 261747 1
F.09 NaN NaN 2 1182 1182 2
A.10 NaN NaN 1 NaN 2604 1
F.18 NaN NaN 1 NaN 878 1
E.10 NaN NaN 1 846 846 1
A.06 NaN NaN 2 NaN 1178 2
E.15 NaN NaN NaN NaN NaN NaN
E.07 NaN NaN NaN NaN NaN NaN
E.11 NaN NaN NaN NaN NaN NaN
B.03 NaN NaN 1 NaN 4896 1
B.18 NaN NaN 2 NaN 2342 2
C.03 NaN NaN 1 NaN 36615 1
A.18 NaN NaN 1 NaN 1333 1
F.15 NaN NaN 1 868 868 1
A.19 NaN NaN 2 NaN 1910 2
C.12 NaN NaN 2 NaN 1387755 2
B.05 NaN NaN 1 NaN 43079 1
A.13 NaN NaN 1 NaN 1223 1
A.05 NaN NaN 2 NaN 827 2
F.01 NaN NaN 1 848 848 1
E.20 NaN NaN NaN NaN NaN NaN
B.13 NaN NaN 1 NaN 31042 1
A.14 NaN NaN 1 NaN 3594 1
B.04 NaN NaN 1 NaN 40004 1
C.13 NaN NaN 2 NaN 11978 2
F.07 NaN NaN 1 NaN 876 1
E.13 NaN NaN NaN NaN NaN NaN
E.14 NaN NaN NaN NaN NaN NaN
A.11 NaN NaN 1 NaN 620 1
si6_r005_m400.07 NaN NaN 15235 NaN 10576 16411
si6_r005_m400.00 NaN NaN 8141 NaN 21141 8787
si6_r005_m400.01 NaN NaN 2773 NaN 8022 3319
si6_r005_m400.02 NaN NaN 2611 NaN 6117 2936
si6_r005_m400.04 NaN NaN 2775 NaN 3722 3088
si6_r005_m400.05 NaN NaN 20113 NaN 3092 20140
si6_r005_m400.09 NaN NaN 1114 NaN 1309 1185
si6_r005_m400.03 NaN NaN 5348 NaN 1752 5452
si6_r005_m400.06 NaN NaN 1719 NaN 2177 1808
si6_r005_m400.08 NaN NaN 2894 NaN 11719 4165
si6_m4Dr6_m625.04 NaN NaN 2 NaN 1433 3
si6_m4Dr6_m625.01 NaN NaN 2 1411 1411 3
si6_m4Dr6_m625.09 NaN NaN 4 NaN 1463 9
si6_m4Dr6_m625.07 NaN NaN 6 1414 1414 24
si6_m4Dr6_m625.00 NaN NaN 2 NaN 1471 3
si6_m4Dr6_m625.08 NaN NaN 6 NaN 1655 14
si6_m4Dr6_m625.05 NaN NaN 4 NaN 1567 6
si6_m4Dr6_m625.06 NaN NaN 1 NaN 1394 1
si6_m4Dr6_m625.02 NaN NaN 2 NaN 1479 2
si6_m4Dr6_m625.03 NaN NaN 2 NaN 1401 2
si4_m4Dr2_m625.09 NaN NaN 19 NaN 1570 280
si4_m4Dr2_m625.04 NaN NaN 15 NaN 8284 95
si4_m4Dr2_m625.02 NaN NaN 6 NaN 1312 10
si4_m4Dr2_m625.07 NaN NaN 16 NaN 1314 221
si4_m4Dr2_m625.00 NaN NaN 10 NaN 1229 39
si4_m4Dr2_m625.08 NaN NaN 10 NaN 1763 40
si4_m4Dr2_m625.01 NaN NaN 9 NaN 1372 28
si4_m4Dr2_m625.06 NaN NaN 14 NaN 1219 87
si4_m4Dr2_m625.03 NaN NaN 13 NaN 4959 83
si4_m4Dr2_m625.05 NaN NaN 10 NaN 1282 47
si2_r001_m600.00 NaN NaN 1042 NaN NaN 1138
si2_r001_m600.06 NaN NaN 1108 NaN NaN 1373
si2_r001_m600.04 NaN NaN 2643 NaN 135107 2480
si2_r001_m600.07 NaN NaN 597 NaN NaN 771
si2_r001_m600.02 NaN NaN 162 NaN NaN 243
si2_r001_m600.08 NaN NaN 2185 NaN NaN 2098
si2_r001_m600.03 NaN NaN 448 NaN NaN 663
si2_r001_m600.01 NaN NaN 31 NaN NaN 201
si2_r001_m600.05 NaN NaN 313 NaN NaN 468
si2_r001_m600.09 NaN NaN 3386 NaN NaN 2843
si2_m4Dr2_m256.09 NaN 307440.000000 5 24346504 18766 24
si2_m4Dr2_m256.03 NaN 117632.000000 874 1006030 114311 405
si2_m4Dr2_m256.04 NaN 194664.000000 20 16728019 91118 111
si2_m4Dr2_m256.07 NaN 1376293.000000 8 99794459 2087 10
si2_m4Dr2_m256.00 NaN 71558.000000 13 1265295 13741 47
si2_m4Dr2_m256.06 NaN 26759.000000 241 NaN 82509 240
si2_m4Dr2_m256.08 NaN 505211.000000 7 2061753 593 17
si2_m4Dr2_m256.05 NaN 552138.000000 3 101241153 384 3
si2_m4Dr2_m256.01 NaN 414.000000 11 NaN 2429 47
si2_m4Dr2_m256.02 NaN 1923691.000000 3 NaN 2353 18
si6_r001_m600.09 NaN NaN 2 NaN 1548 2
si6_r001_m600.00 NaN NaN 45 NaN 181247 49
si6_r001_m600.07 NaN NaN 71 NaN 1970 72
si6_r001_m600.03 NaN NaN 33 NaN 9226 68
si6_r001_m600.01 NaN NaN 4 NaN 7606 7
si6_r001_m600.06 NaN NaN 10 NaN 2082 12
si6_r001_m600.08 NaN NaN 45 NaN 1727 45
si6_r001_m600.02 NaN NaN 7 NaN 41729 17
si6_r001_m600.04 NaN NaN 2 NaN 251557 3
si6_r001_m600.05 NaN NaN 9 NaN 1560 10
si2_m4Dr2_m1296.05 NaN NaN 33 NaN 4168 759
si2_m4Dr2_m1296.09 NaN NaN 29 NaN 8329 292
si2_m4Dr2_m1296.02 NaN NaN 86 NaN 26426 323
si2_m4Dr2_m1296.07 NaN NaN 9 NaN 43594 32
si2_m4Dr2_m1296.00 NaN NaN 28 NaN 2191 548
si2_m4Dr2_m1296.06 NaN NaN 25 NaN 87113 429
si2_m4Dr2_m1296.08 NaN NaN 30 NaN 2048 603
si2_m4Dr2_m1296.01 NaN NaN 20 NaN 258754 366
si2_m4Dr2_m1296.03 NaN NaN 22 NaN 4183 406
si2_m4Dr2_m1296.04 NaN NaN 30 NaN 2550 687
si4_b06m_m800.08 NaN NaN 20 NaN 1551 311
si4_b06m_m800.00 NaN NaN 11 NaN 1506 63
si4_b06m_m800.06 NaN NaN 18 NaN 1593 276
si4_b06m_m800.05 NaN NaN 14 NaN 1547 144
si4_b06m_m800.04 NaN NaN 17 NaN 1520 220
si4_b06m_m800.09 NaN NaN 23 1629 1515 315
si4_b06m_m800.01 NaN NaN 11 NaN 1533 81
si4_b06m_m800.07 NaN NaN 17 NaN 1526 186
si4_b06m_m800.03 NaN NaN 20 62269 1555 332
si4_b06m_m800.02 NaN NaN 11 NaN 1559 94
si6_m4Dr2_m625.08 NaN NaN 10 NaN 1449 30
si6_m4Dr2_m625.09 NaN NaN 13 NaN 1467 117
si6_m4Dr2_m625.05 NaN NaN 4 NaN 9331 6
si6_m4Dr2_m625.01 NaN NaN 11 NaN 1490 57
si6_m4Dr2_m625.06 NaN NaN 9 NaN 1421 54
si6_m4Dr2_m625.00 NaN NaN 20 NaN 1464 258
si6_m4Dr2_m625.03 NaN NaN 14 NaN 1494 113
si6_m4Dr2_m625.02 NaN NaN 5 NaN 2481 8
si6_m4Dr2_m625.07 NaN NaN 5 NaN 1407 13
si6_m4Dr2_m625.04 NaN NaN 2 NaN 2122 3
si2_m4D_m1296.01 NaN NaN 65 NaN 36346 976
si2_m4D_m1296.08 NaN NaN 3 NaN 1842 6
si2_m4D_m1296.06 NaN NaN 77 NaN 85493 683
si2_m4D_m1296.05 NaN NaN 3 NaN 3260 30
si2_m4D_m1296.09 NaN NaN 3 NaN 23219 18
si2_m4D_m1296.03 NaN NaN 47 NaN 30745 915
si2_m4D_m1296.07 NaN NaN 5 NaN 6137 14
si2_m4D_m1296.02 NaN NaN 5 NaN 5935 82
si2_m4D_m1296.04 NaN NaN 42 NaN 7518 169
si2_m4D_m1296.00 NaN NaN 5 NaN 2823 23
si4_b03_m800.05 NaN NaN 3 1443 1443 34
si4_b03_m800.00 NaN NaN 3 1443 1443 35
si4_b03_m800.08 NaN NaN 3 1443 1443 35
si4_b03_m800.09 NaN NaN 3 1443 1443 35
si4_b03_m800.03 NaN NaN 3 1443 1443 34
si4_b03_m800.02 NaN NaN 3 1443 1443 34
si4_b03_m800.04 NaN NaN 3 1443 1443 35
si4_b03_m800.01 NaN NaN 3 1443 1443 34
si4_b03_m800.06 NaN NaN 3 1443 1443 34
si4_b03_m800.07 NaN NaN 3 1443 1443 34
si6_m4D_m1296.02 NaN NaN 101 NaN 30295 2050
si6_m4D_m1296.07 NaN NaN 322 NaN 27331 1907
si6_m4D_m1296.05 NaN NaN 1679 NaN 37546 52593
si6_m4D_m1296.09 NaN NaN 552 NaN 42836 4670
si6_m4D_m1296.00 NaN NaN 391745 NaN 134895526 11862808
si6_m4D_m1296.08 NaN NaN 1279 NaN 29144 41321
si6_m4D_m1296.04 NaN NaN 269 NaN 47032 6857
si6_m4D_m1296.06 NaN NaN 269 NaN 29387 1665
si6_m4D_m1296.01 NaN NaN 320939 NaN 36861048 9198583
si6_m4D_m1296.03 NaN NaN 1377 NaN 1546191 2694
si6_r001_m200.05 NaN NaN 11 NaN 44506 31
si6_r001_m200.09 NaN NaN 15 NaN 16718 15
si6_r001_m200.07 NaN NaN 3 NaN 470 3
si6_r001_m200.02 NaN NaN 2 NaN 7936 2
si6_r001_m200.01 NaN NaN 7 NaN 1281 11
si6_r001_m200.00 NaN NaN 2 NaN 584 2
si6_r001_m200.04 NaN NaN 9 NaN 7309 26
si6_r001_m200.06 NaN NaN 8 NaN 513 16
si6_r001_m200.08 NaN NaN 8 NaN 523 12
si6_r001_m200.03 NaN NaN 6 NaN 660 10
si4_b06_m400.06 NaN 1254.000000 3 726 726 33
si4_b06_m400.07 NaN 1061.000000 3 726 726 32
si4_b06_m400.09 NaN 720.000000 3 726 726 34
si4_b06_m400.01 NaN 713.000000 3 726 726 34
si4_b06_m400.04 NaN 728.000000 3 726 726 30
si4_b06_m400.03 NaN 1213.000000 3 726 726 17
si4_b06_m400.00 NaN 1622.000000 3 726 726 30
si4_b06_m400.05 NaN 1331.000000 3 726 726 34
si4_b06_m400.08 NaN 754.000000 3 726 726 33
si4_b06_m400.02 NaN 1079.000000 3 726 726 36
si2_m4Dr6_m256.06 NaN NaN 10 10343596 11118 52
si2_m4Dr6_m256.05 NaN NaN 9 15053 426 30
si2_m4Dr6_m256.09 NaN NaN 10 NaN 17695 36
si2_m4Dr6_m256.00 NaN NaN 12 NaN 10999 34
si2_m4Dr6_m256.07 NaN 12948980.000000 9 1740062255 825 36
si2_m4Dr6_m256.04 NaN NaN 15 NaN 1208 38
si2_m4Dr6_m256.02 NaN NaN 4 NaN 2113 23
si2_m4Dr6_m256.01 NaN 172499.000000 15 NaN 68264 98
si2_m4Dr6_m256.08 NaN 158002.000000 66 NaN 7543 126
si2_m4Dr6_m256.03 NaN NaN 7 NaN 1571 20
si6_r01_m200.04 NaN NaN 773 NaN 563 795
si6_r01_m200.08 NaN NaN 417 NaN 3991 675
si6_r01_m200.02 NaN NaN 3158 NaN 6996 3836
si6_r01_m200.09 NaN NaN 5980 NaN 747 6157
si6_r01_m200.07 NaN NaN 942 NaN 2560 1354
si6_r01_m200.00 NaN NaN 1245 NaN 6558 1209
si6_r01_m200.01 NaN NaN 26400 NaN 1035 26486
si6_r01_m200.03 NaN NaN 3313 NaN 19965 4131
si6_r01_m200.05 NaN NaN 10664 NaN 4472 11080
si6_r01_m200.06 NaN NaN 8989 NaN 2764 9617
si2_b03m_m800.03 NaN NaN 63 NaN 1503 1047
si2_b03m_m800.02 NaN NaN 54 NaN 2091 779
si2_b03m_m800.09 NaN NaN 51 8019528 1402 897
si2_b03m_m800.04 NaN NaN 40 NaN 1453 596
si2_b03m_m800.06 NaN NaN 54 NaN 1436 1037
si2_b03m_m800.05 NaN NaN 52 NaN 1486 873
si2_b03m_m800.01 NaN NaN 38 64552076 1341 852
si2_b03m_m800.08 NaN NaN 48 NaN 1455 1053
si2_b03m_m800.07 NaN NaN 36 NaN NaN 609
si2_b03m_m800.00 NaN NaN 46 NaN 1390 862
si2_r001_m200.06 NaN 1711407.000000 726 47687 23579 530
si2_r001_m200.01 NaN 10012921.000000 35 76160038 844682 101
si2_r001_m200.02 NaN 5123823.000000 37 4970532 401812 133
si2_r001_m200.07 NaN 15314880.000000 27 120839304 1189 71
si2_r001_m200.04 NaN NaN 39 420086571 5957 134
si2_r001_m200.05 NaN 26920968.000000 1048 1246068710 1246068324 555
si2_r001_m200.09 NaN NaN 189271 1019041900 398559899 1916
si2_r001_m200.03 NaN 1921656.000000 22 13432008 7705277 198
si2_r001_m200.00 NaN 48481.000000 38 595 562 493
si2_r001_m200.08 NaN NaN 127 NaN 48316287 234
si6_b03m_m800.01 NaN NaN 35 NaN 1999 401
si6_b03m_m800.08 NaN NaN 22 NaN 1917 413
si6_b03m_m800.03 NaN NaN 26 971569 209956 294
si6_b03m_m800.00 NaN NaN 29 NaN 1956 288
si6_b03m_m800.04 NaN NaN 44 NaN 1928 454
si6_b03m_m800.05 NaN NaN 34 NaN 1937 388
si6_b03m_m800.07 NaN NaN 32 NaN 2446 774
si6_b03m_m800.06 NaN NaN 46 NaN 2001 470
si6_b03m_m800.09 NaN NaN 35 NaN 1998 328
si6_b03m_m800.02 NaN NaN 33 NaN 2066 355
si4_r005_m200.00 NaN NaN 2457 NaN 18489 3107
si4_r005_m200.08 NaN NaN 413 NaN 2127 456
si4_r005_m200.02 NaN NaN 362 NaN 28859 513
si4_r005_m200.05 NaN NaN 339 NaN 1952 377
si4_r005_m200.06 NaN NaN 169 NaN 1202 277
si4_r005_m200.04 NaN NaN 4642 NaN 4134 4392
si4_r005_m200.07 NaN NaN 1284 NaN 4078 1341
si4_r005_m200.09 NaN NaN 1096 NaN 6568 1058
si4_r005_m200.01 NaN NaN 1385 NaN 1339 1378
si4_r005_m200.03 NaN NaN 947 NaN 8498 1094
