instance clique cp-fc kdown james-cpp-max james-cpp-max-down kdown-par/t32
F.04 1e6 1000.000183 252 1000001 3 56
C.18 1e6 1e3 2092 1000010 102 319
A.04 1e6 1000.000183 46 1000000 1 15
C.02 1e6 1e3 2290 1000007 144 316
E.01 1e6 1000.000122 1000000 1000000 1000001 1000004
F.20 1e6 1000.000122 319 1000000 3 55
B.20 1e6 1e3 570 1000002 54 92
C.08 1e6 1e3 2048 1000007 29621 292
B.11 1e6 1e3 682 1000002 11 101
C.10 1e6 1e3 2081 1000011 2263 314
B.06 1e6 1e3 683 1000002 16 99
F.08 1e6 1000.000000 320 3 3 61
B.07 1e6 1e3 591 1000003 30 100
E.04 1e6 1000.000122 1000000 1000000 1000001 1000004
C.01 1e6 1e3 2259 1000007 918 298
B.10 1e6 1e3 641 1000002 15 95
A.15 1e6 1000.000183 48 1000000 1 16
C.19 1e6 1e3 2325 1000007 492 295
B.02 1e6 1e3 560 1000002 50 94
E.06 1e6 1000.000122 1000000 1000001 1000002 1000004
E.18 1e6 1000.000122 1000000 1000001 1000001 1000003
C.20 1e6 1e3 2031 1000010 288 318
F.02 1e6 1000.000122 260 3 3 53
F.11 1e6 1000.000122 235 1000000 3 55
F.12 1e6 1000.000000 236 3 3 54
E.05 1e6 1000.000122 1000000 1000000 1000001 1000003
B.16 1e6 1e3 567 1000003 14 93
A.08 1e6 1000.000183 45 1000000 2 16
C.14 1e6 1e3 2116 1000007 37 299
F.16 1e6 1000.000122 232 3 3 56
F.06 1e6 1000.000122 248 3 3 55
A.03 1e6 1000.000183 54 1000000 3 15
E.19 1e6 1000.000122 1000000 1000000 1000001 1000004
C.15 1e6 1e3 2233 1000007 2564 294
A.16 1e6 1000.000183 47 1000000 2 15
B.14 1e6 1e3 745 1000002 804 95
A.02 1e6 1000.000122 46 1000000 1 14
F.14 1e6 1000.000122 264 1000001 5 58
F.05 1e6 1000.000122 254 3 4 55
B.09 1e6 1e3 738 1000002 19 92
A.01 1e6 1000.000122 47 1000000 1 15
C.05 1e6 1e3 2005 1000007 53 311
B.01 1e6 1e3 579 1000002 255 93
A.09 1e6 1000.000183 47 1000000 1 16
A.07 1e6 1000.000183 46 1000000 2 15
F.03 1e6 1000.000122 235 3 3 58
E.12 1e6 1000.000122 1000000 1000000 1000001 1000003
C.06 1e6 1e3 2152 1000006 148 303
C.09 1e6 1e3 2136 1000006 41 300
B.17 1e6 1e3 552 1000003 70 93
C.07 1e6 1e3 2099 1000007 84 304
E.09 1e6 1000.000122 1000000 1000000 1000001 1000004
E.17 1e6 1000.000122 1000000 1000000 1000001 1000003
C.11 1e6 1e3 2189 1000012 11932 304
F.10 1e6 1000.000183 1000000 1000000 1000001 1000004
A.17 1e6 1000.000183 46 1000000 1 16
B.15 1e6 1e3 675 1000004 25 97
E.03 1e6 1000.000122 1000000 1000001 1000001 1000004
F.19 1e6 1000.000122 251 5 3 56
A.12 1e6 1000.000183 46 1000000 3 15
B.08 1e6 1e3 583 1000002 108 95
F.17 1e6 1000.000122 233 1000001 5 54
C.04 1e6 1e3 2286 1000007 709016 300
B.19 1e6 1e3 627 1000002 52 96
C.16 1e6 1e3 2403 1000006 5590 305
C.17 1e6 1e3 2764 1000007 3612 305
E.08 1e6 1000.000122 1000000 1000001 1000001 1000003
F.13 1e6 1000.000122 358 4 3 56
A.20 1e6 1000.000122 47 1000000 3 15
E.02 1e6 1000.000122 1000000 1000000 1000001 1000004
E.16 1e6 1000.000122 1000000 1000000 1000001 1000004
B.12 1e6 1e3 565 1000002 319 97
F.09 1e6 1000.000122 280 4 4 52
A.10 1e6 1000.000183 74 1000000 2 16
F.18 1e6 1000.000122 264 1000000 10 55
E.10 1e6 1000.000122 264 3 5 58
A.06 1e6 1000.000122 67 1000000 1 15
